Company,CUSIP,Shares,Value,Discretion,PutCall
AMAZON COM INC,023135106,2811928,617415031,SOLE,
AMPHENOL CORP NEW,032095101,3023231,374124836,SOLE,
APPLOVIN CORP,03831W108,1109138,796960019,SOLE,
BOOKING HOLDINGS INC,09857L108,31151,168192660,SOLE,
BROADCOM INC,11135F101,1549412,511166513,SOLE,
BROOKFIELD CORP,11271J107,10181348,698236846,SOLE,
CAPITAL ONE FINL CORP,14040H105,2569491,546222397,SOLE,
CARVANA CO,146869102,1765291,665938377,SOLE,
CIENA CORP,171779309,2006662,292310454,SOLE,
EQT CORP,26884L109,8361889,455137618,SOLE,
ETSY INC,29786A106,3880316,257614179,SOLE,
FLUTTER ENTMT PLC,G3643J108,1733336,440267344,SOLE,
KKR & CO INC,48251W104,4080561,530268902,SOLE,
LPL FINL HLDGS INC,50212V100,2255714,750453491,SOLE,
META PLATFORMS INC,30303M102,1322260,971041299,SOLE,
MICROSOFT CORP,594918104,1208605,625996960,SOLE,
NU HLDGS LTD,G6683N103,25406449,406757248,SOLE,
PHILIP MORRIS INTL INC,718172109,4614443,748462655,SOLE,
SEA LTD,81141R100,1869501,334135914,SOLE,
STARBUCKS CORP,855244109,5561954,470541308,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,3052400,852504796,SOLE,
TALEN ENERGY CORP,87422Q109,1192516,507272456,SOLE,
VISTRA CORP,92840M102,4699241,920675297,SOLE,
VULCAN MATLS CO,929160109,1384624,425938035,SOLE,
WINGSTOP INC,974155103,1491245,375316542,SOLE,
