Company,CUSIP,Shares,Value,Discretion
ACM RESH INC,00108J109,1185744,30710770,SOLE
AFFILIATED MANAGERS GROUP IN,008252108,6838,1345514,DFND
ALBERTSONS COS INC,013091103,631734,13588598,SOLE
ALBERTSONS COS INC,013091103,2830443,60882829,DFND
ALEXANDERS INC,014752109,83,18702,SOLE
ALEXANDERS INC,014752109,63420,14289794,DFND
ANGI INC,00183L201,260954,3982158,SOLE
ANGI INC,00183L201,1806694,27570150,DFND
ATLANTA BRAVES HLDGS INC,047726302,1026,47986,SOLE
ATLANTA BRAVES HLDGS INC,047726302,669988,31335339,DFND
BIO RAD LABS INC,090572207,57267,13819672,SOLE
BIO RAD LABS INC,090572207,255042,61546735,DFND
BIO RAD LABS INC,090572207,2976,718168,DFND
BOSTON BEER INC,100557107,113,21562,SOLE
BOSTON BEER INC,100557107,106204,20264785,DFND
CARDINAL HEALTH INC,14149Y108,10644,1788192,DFND
CLEARWATER PAPER CORP,18538R103,1472,40097,SOLE
CLEARWATER PAPER CORP,18538R103,936449,25508871,DFND
CNH INDL N V,N20944109,452773,5867937,SOLE
CNH INDL N V,N20944109,3308474,42877823,DFND
CNX RES CORP,12653C108,621184,20921478,SOLE
CNX RES CORP,12653C108,3841572,129384145,DFND
DISNEY WALT CO,254687106,57079,7078367,SOLE
DISNEY WALT CO,254687106,233251,28925457,DFND
DOLE PLC,G27907107,3869,54127,SOLE
DOLE PLC,G27907107,2445275,34209397,DFND
EMPIRE ST RLTY TR INC,292104106,4193,33921,SOLE
EMPIRE ST RLTY TR INC,292104106,2625947,21243911,DFND
ENOVIS CORPORATION,194014502,36583,1147243,DFND
FEDEX CORP,31428X106,66320,15075200,SOLE
FEDEX CORP,31428X106,307735,69951242,DFND
FEDEX CORP,31428X106,5481,1245886,DFND
FIDELITY NATL INFORMATION SV,31620M106,169797,13823172,SOLE
FIDELITY NATL INFORMATION SV,31620M106,758294,61732715,DFND
FIDELITY NATL INFORMATION SV,31620M106,21166,1723124,DFND
FORTUNE BRANDS INNOVATIONS I,34964C106,201896,10393606,SOLE
FORTUNE BRANDS INNOVATIONS I,34964C106,829419,42698490,DFND
GRAHAM HLDGS CO,384637104,6106,5777314,SOLE
GRAHAM HLDGS CO,384637104,35302,33401693,DFND
GRAHAM HLDGS CO,384637104,1491,1410740,DFND
H WORLD GROUP LTD,44332N106,308755,10472970,SOLE
H WORLD GROUP LTD,44332N106,588001,19944994,DFND
HDFC BANK LTD,40415F101,39094,2997337,SOLE
HENRY SCHEIN INC,806407102,20962,1531274,DFND
HF SINCLAIR CORP,403949100,319645,13131016,SOLE
HF SINCLAIR CORP,403949100,1432177,58833831,DFND
HYATT HOTELS CORP,448579102,25013,3493067,SOLE
HYATT HOTELS CORP,448579102,271971,37980750,DFND
HYATT HOTELS CORP,448579102,9508,1327792,DFND
IAC INC,44891N208,577040,21546673,SOLE
IAC INC,44891N208,2353940,87896119,DFND
KASPI KZ JSC,48581R205,188806,16027741,SOLE
KRAFT HEINZ CO,500754106,683614,17650914,SOLE
KRAFT HEINZ CO,500754106,2957476,76362030,DFND
KRAFT HEINZ CO,500754106,33171,856475,DFND
LAZARD INC,52110M109,22863,1096966,DFND
LIVE NATION ENTERTAINMENT IN,538034109,14086,2130930,DFND
MADISON SQUARE GRDN SPRT COR,55825T103,4028,841651,DFND
MATTEL INC,577081102,1010409,19925267,SOLE
MATTEL INC,577081102,6176536,121801290,DFND
MATTEL INC,577081102,33320,657070,DFND
MELCO RESORTS AND ENTMNT LTD,585464100,2318544,16763073,SOLE
MELCO RESORTS AND ENTMNT LTD,585464100,4078727,29489196,DFND
MGM RESORTS INTERNATIONAL,552953101,346331,11910324,SOLE
MGM RESORTS INTERNATIONAL,552953101,1411700,48548363,DFND
MGM RESORTS INTERNATIONAL,552953101,17073,587141,DFND
MILLICOM INTL CELLULAR S A,L6388F110,203205,7614092,SOLE
MILLICOM INTL CELLULAR S A,L6388F110,834429,31266055,DFND
OSCAR HEALTH INC,687793109,1405,30123,SOLE
OSCAR HEALTH INC,687793109,880452,18876891,DFND
OWENS & MINOR INC NEW,690732102,125400,1141140,DFND
PARK HOTELS & RESORTS INC,700517105,2133,21821,SOLE
PARK HOTELS & RESORTS INC,700517105,1335745,13664671,DFND
PAYPAL HLDGS INC,70450Y103,68067,5058739,SOLE
PAYPAL HLDGS INC,70450Y103,470248,34948831,DFND
PAYPAL HLDGS INC,70450Y103,27545,2047144,DFND
POTLATCHDELTIC CORPORATION,737630103,119964,4603019,SOLE
POTLATCHDELTIC CORPORATION,737630103,836283,32088179,DFND
PVH CORPORATION,693656100,254886,17485180,SOLE
PVH CORPORATION,693656100,1114968,76486805,DFND
REGENERON PHARMACEUTICALS,75886F107,29857,15674925,SOLE
REGENERON PHARMACEUTICALS,75886F107,130724,68630100,DFND
RXO INC,74982T103,53978,848535,DFND
SHARKNINJA INC,G8068L108,531660,52629023,SOLE
SHENANDOAH TELECOMMUNICATION,82312B106,3735,51020,SOLE
SHENANDOAH TELECOMMUNICATION,82312B106,2284333,31203989,DFND
TRIPADVISOR INC,896945201,4130,53896,SOLE
TRIPADVISOR INC,896945201,2586818,33757975,DFND
WESTROCK COFFEE CO,96145W103,4126,23642,SOLE
WESTROCK COFFEE CO,96145W103,2607400,14940402,DFND
WESTROCK COFFEE CO,96145W103,58650,336064,DFND
WHITE MTNS INS GROUP LTD,G9618E107,956,1716709,SOLE
WHITE MTNS INS GROUP LTD,G9618E107,20138,36162209,DFND
XPO INC,983793100,15980,2018115,DFND
