Company,CUSIP,Shares,Value,Discretion,PutCall
LIBERTY BROADBAND SRS C ORD,530307305,423914,24260598,SOLE,
HEICO CL A ORD,422806208,4674,719516,SOLE,
CDW ORD,12514G108,443504,113439453,SOLE,
LAMAR ADVERTISING CL A REIT,512816109,921092,109987596,SOLE,
DOMINOS PIZZA ORD,25754A201,170991,84962008,SOLE,
CHARTER COMMUNICATIONS CL A ORD,16119P108,380922,110707361,SOLE,
CACTUS CL A ORD,127203107,100000,5009000,SOLE,
PROGRESSIVE ORD,743315103,743315,153732408,SOLE,
BATH AND BODY WORKS ORD,070830104,2474352,123767087,SOLE,
CARMAX ORD,143130102,1172755,102158688,SOLE,
