Company,CUSIP,Shares,Value,Discretion
SAVERS VALUE VILLAGE ORD,80517M109,1078437,11000057,SOLE
BEL FUSE CL A ORD,077347201,4001,359490,SOLE
BEL FUSE CL B ORD,077347300,245999,24031642,SOLE
FLUTTER ENTERTAINMENT ORD,G3643J108,106422,30411151,SOLE
CACTUS CL A ORD,127203107,357030,15609352,SOLE
HEICO CL A ORD,422806208,2171,561746,SOLE
CDW ORD,12514G108,155305,27735920,SOLE
BATH AND BODY WORKS ORD,070830104,1839039,55097608,SOLE
LAMAR ADVERTISING CL A REIT,512816109,224260,27216194,SOLE
DOMINOS PIZZA ORD,25754A201,64964,29272778,SOLE
CHARTER COMMUNICATIONS CL A ORD,16119P108,200162,81828227,SOLE
LIMBACH HOLDINGS ORD,53263P105,52239,7318684,SOLE
CARMAX ORD,143130102,272203,18294764,SOLE
