Company,CUSIP,Shares,Value,Discretion,PutCall
3M CO,88579Y101,81000,11072700,SOLE,
3M CO,88579Y101,212750,29082925,DFND,
ACCENTURE PLC IRELAND,G1151C101,1,353,SOLE,
ACCENTURE PLC IRELAND,G1151C101,159399,56344359,DFND,
AIR PRODS & CHEMS INC,009158106,52000,15482480,DFND,
AIRBNB INC,009066101,19150,2428412,DFND,
ALLSTATE CORP,020002101,154550,29310408,DFND,
ALPHABET INC,02079K305,72000,11941200,SOLE,
ALPHABET INC,02079K107,297230,49693884,SOLE,
ALPHABET INC,02079K305,483000,80105550,DFND,
ALPHABET INC,02079K107,2452630,410055209,DFND,
AMAZON COM INC,023135106,148432,27657335,SOLE,
AMAZON COM INC,023135106,1882328,350734176,DFND,
AMERICAN EXPRESS CO,025816109,10000,2712000,SOLE,
AMERICAN EXPRESS CO,025816109,474250,128616600,DFND,
AMERICAN TOWER CORP NEW,03027X100,1000,232560,SOLE,
AMERICAN TOWER CORP NEW,03027X100,50910,11839630,DFND,
ANALOG DEVICES INC,032654105,11000,2531870,SOLE,
ANALOG DEVICES INC,032654105,1156671,266230962,DFND,
ANHEUSER BUSCH INBEV SA/NV,03524A108,11000,729190,DFND,
AON PLC,G0403H108,1500,518985,SOLE,
AON PLC,G0403H108,118650,41051715,DFND,
APOLLO GLOBAL MGMT INC,03769M106,22500,2810475,SOLE,
APOLLO GLOBAL MGMT INC,03769M106,990000,123660900,DFND,
APPLE INC,037833100,48200,11230600,SOLE,
APPLE INC,037833100,1179090,274727970,DFND,
ARCHER DANIELS MIDLAND CO,039483102,170727,10199231,SOLE,
ARCHER DANIELS MIDLAND CO,039483102,1292573,77218311,DFND,
BALL CORP,058498106,51000,3463410,DFND,
BANK NEW YORK MELLON CORP,064058100,121500,8730990,DFND,
BERKLEY W R CORP,084423102,60750,3446349,DFND,
BERKSHIRE HATHAWAY INC DEL,084670108,590,407796200,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,1104460,508338759,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,524,362178320,DFND,
BERKSHIRE HATHAWAY INC DEL,084670702,427511,196766213,DFND,
BLACKROCK INC,09247X101,12000,11394120,SOLE,
BLACKROCK INC,09247X101,208200,197687982,DFND,
BLACKSTONE INC,09260D107,34500,5282985,SOLE,
BLACKSTONE INC,09260D107,1194500,182913786,DFND,
BROOKFIELD ASSET MANAGMT LTD,113004105,1238500,58568666,SOLE,
BROOKFIELD ASSET MANAGMT LTD,113004105,955453,45183372,DFND,
BROOKFIELD CORP,11271J107,3172138,168599135,SOLE,
BROOKFIELD CORP,11271J107,5543603,294642500,DFND,
BROWN FORMAN CORP,115637100,164600,7913968,SOLE,
BROWN FORMAN CORP,115637209,145400,7153680,SOLE,
BROWN FORMAN CORP,115637100,678400,32617472,DFND,
BROWN FORMAN CORP,115637209,328787,16176320,DFND,
BRUNSWICK CORP,117043109,14000,1173480,DFND,
CABLE ONE INC,12685J105,60050,21004890,DFND,
CAPITAL ONE FINL CORP,14040H105,7500,1122975,SOLE,
CAPITAL ONE FINL CORP,14040H105,83500,12502455,DFND,
CARLYLE GROUP INC,14316J108,44500,1916170,SOLE,
CARLYLE GROUP INC,14316J108,1282500,55224450,DFND,
CARMAX INC,143130102,7000,541660,SOLE,
CARMAX INC,143130102,129500,10020710,DFND,
CARRIER GLOBAL CORPORATION,14448C104,54600,4394754,SOLE,
CARRIER GLOBAL CORPORATION,14448C104,180400,14520396,DFND,
CATERPILLAR INC,149123101,10001,3911591,SOLE,
CATERPILLAR INC,149123101,308749,120757909,DFND,
CELANESE CORP DEL,150870103,6000,815760,SOLE,
CELANESE CORP DEL,150870103,71800,9761928,DFND,
CHOICE HOTELS INTL INC,169905106,115500,15049650,DFND,
CISCO SYS INC,17275R102,148000,7876560,SOLE,
CISCO SYS INC,17275R102,194000,10324680,DFND,
COMCAST CORP NEW,20030N101,133100,5559587,SOLE,
COMCAST CORP NEW,20030N101,948141,39603850,DFND,
COMFORT SYS USA INC,199908104,13000,5074550,DFND,
COSTAR GROUP INC,22160N109,18600,1403184,DFND,
COSTCO WHSL CORP NEW,22160K105,39150,34707258,DFND,
CROWN HLDGS INC,228368106,3000,287640,SOLE,
CROWN HLDGS INC,228368106,186500,17881620,DFND,
DEERE & CO,244199105,869100,362701502,DFND,
DIAGEO PLC,25243Q205,585314,82142967,SOLE,
DIAGEO PLC,25243Q205,781394,109660834,DFND,
DISNEY WALT CO,254687106,454237,43693057,SOLE,
DISNEY WALT CO,254687106,1577428,151732799,DFND,
DOLLAR GEN CORP NEW,256677105,3500,295995,SOLE,
DOLLAR GEN CORP NEW,256677105,738750,62476087,DFND,
DOMINOS PIZZA INC,25754A201,4500,1935630,DFND,
DUN & BRADSTREET HLDGS INC,26484T106,115000,1323650,DFND,
EASTMAN CHEM CO,277432100,4000,447800,SOLE,
EASTMAN CHEM CO,277432100,70950,7942853,DFND,
ECOLAB INC,278865100,23000,5872590,SOLE,
ECOLAB INC,278865100,251300,64164429,DFND,
EQUIFAX INC,294429105,72850,21407701,DFND,
FACTSET RESH SYS INC,303075105,23000,10576550,SOLE,
FACTSET RESH SYS INC,303075105,93720,43097143,DFND,
FEDEX CORP,31428X106,4000,1094720,SOLE,
FEDEX CORP,31428X106,191000,52272880,DFND,
FERGUSON PLC NEW,31488V107,84500,16779165,DFND,
