Company,CUSIP,Shares,Value,Discretion
3M CO,88579Y101,81000,10456290,SOLE
3M CO,88579Y101,212750,27463898,DFND
ACCENTURE PLC IRELAND,G1151C101,1,352,SOLE
ACCENTURE PLC IRELAND,G1151C101,159399,56074974,DFND
ACUITY BRANDS INC,00508Y102,3000,876390,DFND
AIR PRODS & CHEMS INC,009158106,64500,18707580,DFND
AIRBNB INC,009066101,115310,15152886,DFND
ALLSTATE CORP,020002101,154550,29795695,DFND
ALPHABET INC,02079K305,72000,13629600,SOLE
ALPHABET INC,02079K107,297230,56604481,SOLE
ALPHABET INC,02079K305,483000,91431900,DFND
ALPHABET INC,02079K107,2452630,467078856,DFND
AMAZON COM INC,023135106,148432,32564496,SOLE
AMAZON COM INC,023135106,1882328,412963940,DFND
AMERICAN EXPRESS CO,025816109,10000,2967900,SOLE
AMERICAN EXPRESS CO,025816109,474250,140752659,DFND
ANALOG DEVICES INC,032654105,11000,2337060,SOLE
ANALOG DEVICES INC,032654105,1156671,245746320,DFND
ANHEUSER BUSCH INBEV SA/NV,03524A108,11000,550770,DFND
AON PLC,G0403H108,1500,538740,SOLE
AON PLC,G0403H108,124700,44787252,DFND
APOLLO GLOBAL MGMT INC,03769M106,22500,3716100,SOLE
APOLLO GLOBAL MGMT INC,03769M106,990000,163508400,DFND
APPLE INC,037833100,48200,12070244,SOLE
APPLE INC,037833100,1179090,295267718,DFND
ARCHER DANIELS MIDLAND CO,039483102,170727,8625128,SOLE
ARCHER DANIELS MIDLAND CO,039483102,1303573,65856509,DFND
BALL CORP,058498106,51000,2811630,DFND
BANK NEW YORK MELLON CORP,064058100,121500,9334845,DFND
BERKLEY W R CORP,084423102,60750,3555090,DFND
BERKSHIRE HATHAWAY INC DEL,084670108,590,401742800,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,1104460,500629629,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,524,356802080,DFND
BERKSHIRE HATHAWAY INC DEL,084670702,427511,193782186,DFND
BLACKROCK ORD,09290D101,12000,12301320,SOLE
BLACKROCK ORD,09290D101,208200,213427902,DFND
BLACKSTONE INC,09260D107,34500,5948490,SOLE
BLACKSTONE INC,09260D107,1194500,205955689,DFND
BROOKFIELD ASSET MANAGMT LTD,113004105,1238500,67114315,SOLE
BROOKFIELD ASSET MANAGMT LTD,113004105,955453,51775999,DFND
BROOKFIELD CORP,11271J107,3172138,182239328,SOLE
BROOKFIELD CORP,11271J107,5543603,318479992,DFND
BROWN FORMAN CORP,115637100,164600,6203774,SOLE
BROWN FORMAN CORP,115637209,145400,5522292,SOLE
BROWN FORMAN CORP,115637100,678400,25568896,DFND
BROWN FORMAN CORP,115637209,328787,12487330,DFND
BRUNSWICK CORP,117043109,15000,970200,DFND
CABLE ONE INC,12685J105,50900,18431908,DFND
CAPITAL ONE FINL CORP,14040H105,7500,1337400,SOLE
CAPITAL ONE FINL CORP,14040H105,83500,14889720,DFND
CARLYLE GROUP INC,14316J108,44500,2246805,SOLE
CARLYLE GROUP INC,14316J108,1282500,64753425,DFND
CARMAX INC,143130102,7000,572320,SOLE
CARMAX INC,143130102,129500,10587920,DFND
CARRIER GLOBAL CORPORATION,14448C104,54600,3726996,SOLE
CARRIER GLOBAL CORPORATION,14448C104,180400,12314104,DFND
CATERPILLAR INC,149123101,10001,3627963,SOLE
CATERPILLAR INC,149123101,314799,114196485,DFND
CELANESE CORP DEL,150870103,6000,415260,SOLE
CELANESE CORP DEL,150870103,75300,5211513,DFND
CHOICE HOTELS INTL INC,169905106,115500,16398690,DFND
CISCO SYS INC,17275R102,148000,8761600,SOLE
CISCO SYS INC,17275R102,194000,11484800,DFND
CME GROUP INC,12572Q105,3000,696690,DFND
COMCAST CORP NEW,20030N101,133100,4995243,SOLE
COMCAST CORP NEW,20030N101,828780,31104113,DFND
COMFORT SYS USA INC,199908104,13000,5512780,DFND
COSTAR GROUP INC,22160N109,18600,1331574,DFND
COSTCO WHSL CORP NEW,22160K105,39150,35871971,DFND
CROWN HLDGS INC,228368106,3000,248070,SOLE
CROWN HLDGS INC,228368106,186500,15421685,DFND
DEERE & CO,244199105,874950,370716315,DFND
DIAGEO PLC,25243Q205,585314,74410969,SOLE
DIAGEO PLC,25243Q205,781394,99338620,DFND
DISNEY WALT CO,254687106,454237,50579290,SOLE
DISNEY WALT CO,254687106,1577428,175646607,DFND
DOLLAR GEN CORP NEW,256677105,3500,265370,SOLE
