Company,CUSIP,Shares,Value,Discretion
ABBVIE INC,00287Y109,142956,26032288,SOLE
ACCENTURE PLC IRELAND,G1151C101,815,282487,SOLE
AFLAC INC,001055102,6201,532418,SOLE
ALPHABET INC,02079K107,164655,25070370,SOLE
ALPHABET INC,02079K305,2465,372042,SOLE
AMAZON COM INC,023135106,123524,22281259,SOLE
AMERICAN ELEC PWR CO INC,025537101,233394,20095223,SOLE
AMERICAN EXPRESS CO,025816109,3228,734983,SOLE
AMGEN INC,031162100,41223,11720523,SOLE
APPLE INC,037833100,139292,23885792,SOLE
BANK AMERICA CORP,060505104,7111,269649,SOLE
BANK NEW YORK MELLON CORP,064058100,526456,30334395,SOLE
BECTON DICKINSON & CO,075887109,25958,6423307,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,2749,1156009,SOLE
BOEING CO,097023105,1094,211131,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,5549,300922,SOLE
CAPITAL ONE FINL CORP,14040H105,2414,359420,SOLE
CISCO SYS INC,17275R102,505833,25246125,SOLE
COLGATE PALMOLIVE CO,194162103,2600,234130,SOLE
COMCAST CORP NEW,20030N101,668512,28979995,SOLE
COMPUGEN LTD,M25722105,90833,234349,SOLE
COSTCO WHSL CORP NEW,22160K105,547,400749,SOLE
CVS HEALTH CORP,126650100,283744,22631421,SOLE
DANAHER CORPORATION,235851102,1703,425273,SOLE
DUKE ENERGY CORP NEW,26441C204,65230,6308393,SOLE
EATON CORP PLC,G29183103,842,263277,SOLE
ELI LILLY & CO,532457108,297,231054,SOLE
EXXON MOBIL CORP,30231G102,4342,504714,SOLE
FEDEX CORP,31428X106,50349,14588119,SOLE
FISERV INC,337738108,37798,6040876,SOLE
GENERAL DYNAMICS CORP,369550108,35127,9923026,SOLE
GILEAD SCIENCES INC,375558103,311545,22820671,SOLE
GOLDMAN SACHS GROUP INC,38141G104,40779,17032981,SOLE
HOME DEPOT INC,437076102,42598,16340593,SOLE
INTERNATIONAL BUSINESS MACHS,459200101,1117,213302,SOLE
INTUIT,461202103,450,292500,SOLE
INVESCO QQQ TR,46090E103,1089,483576,SOLE
ISHARES INC,46434G103,4723,243707,SOLE
ISHARES TR,46435G516,3441,274970,SOLE
ISHARES TR,464287200,2109,1108977,SOLE
