Company,CUSIP,Shares,Value,Discretion,PutCall
ABBVIE INC,00287Y109,39119,8196213,SOLE,
ACCENTURE PLC IRELAND,G1151C101,795,248072,SOLE,
AFLAC INC,001055102,6211,690612,SOLE,
ALPHABET INC,02079K107,159189,24870074,SOLE,
ALPHABET INC,02079K305,3307,511444,SOLE,
AMAZON COM INC,023135106,119490,22734167,SOLE,
AMERICAN ELEC PWR CO INC,025537101,229597,25088064,SOLE,
AMERICAN EXPRESS CO,025816109,3187,857464,SOLE,
AMGEN INC,031162100,97314,30318177,SOLE,
AMPHENOL CORP NEW,032095101,3056,200443,SOLE,
AON PLC,G0403H108,648,258610,SOLE,
APPLE INC,037833100,142117,31568511,SOLE,
BANK AMERICA CORP,060505104,57932,2417519,SOLE,
BANK NEW YORK MELLON CORP,064058100,402272,33738553,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,11591,6173135,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,4092,249571,SOLE,
CAPITAL ONE FINL CORP,14040H105,2414,432830,SOLE,
CISCO SYS INC,17275R102,278277,17172474,SOLE,
COLGATE PALMOLIVE CO,194162103,2549,238841,SOLE,
COMCAST CORP NEW,20030N101,728041,26864713,SOLE,
COMPUGEN LTD,M25722105,93833,136996,SOLE,
COSTCO WHSL CORP NEW,22160K105,573,542075,SOLE,
CVS HEALTH CORP,126650100,6175,418356,SOLE,
DANAHER CORPORATION,235851102,1703,349115,SOLE,
DOCGO INC,256086109,100000,264000,SOLE,
DOLLAR GEN CORP NEW,256677105,131801,11589262,SOLE,
EA SERIES TRUST,02072Q812,422381,40770791,SOLE,
EATON CORP PLC,G29183103,862,234317,SOLE,
ELI LILLY & CO,532457108,340,281029,SOLE,
EXXON MOBIL CORP,30231G102,4762,566305,SOLE,
FEDEX CORP,31428X106,48633,11855753,SOLE,
GENERAC HLDGS INC,368736104,23390,2962344,SOLE,
GENERAL DYNAMICS CORP,369550108,33644,9170682,SOLE,
GOLDMAN SACHS GROUP INC,38141G104,30429,16623070,SOLE,
HOME DEPOT INC,437076102,46771,17141191,SOLE,
INTERNATIONAL BUSINESS MACHS,459200101,1129,280649,SOLE,
INTUIT,461202103,450,276296,SOLE,
INVESCO EXCH TRADED FD TR II,46138G649,1520,293390,SOLE,
INVESCO QQQ TR,46090E103,1348,632395,SOLE,
ISHARES INC,46434G103,4827,260559,SOLE,
ISHARES TR,464287200,3143,1766383,SOLE,
ISHARES TR,464287655,10715,2137580,SOLE,
ISHARES TR,464287598,6200,1166606,SOLE,
ISHARES TR,464287465,14764,1206716,SOLE,
ISHARES TR,464287614,20850,7529030,SOLE,
ISHARES TR,464287499,57382,4881562,SOLE,
ISHARES TR,46435G516,6523,532864,SOLE,
ISHARES TR,464287630,1765,266480,SOLE,
ISHARES TR,464287804,48668,5089223,SOLE,
ISHARES TR,464287622,722,221582,SOLE,
JOHNSON & JOHNSON,478160104,3375,559710,SOLE,
JPMORGAN CHASE & CO.,46625H100,144561,35460881,SOLE,
L3HARRIS TECHNOLOGIES INC,502431109,56360,11796712,SOLE,
LOWES COS INC,548661107,39070,9112296,SOLE,
M & T BK CORP,55261F104,86827,15520326,SOLE,
MARKER THERAPEUTICS INC,57055L206,15000,18450,SOLE,
MCDONALDS CORP,580135101,1080,337429,SOLE,
MEDTRONIC PLC,G5960L103,362252,32551965,SOLE,
MERCK & CO INC,58933Y105,2946,264433,SOLE,
META PLATFORMS INC,30303M102,29531,17020568,SOLE,
MICROSOFT CORP,594918104,143085,53712562,SOLE,
MORGAN STANLEY,617446448,260351,30375151,SOLE,
NEXTERA ENERGY INC,65339F101,254623,18050224,SOLE,
NUCOR CORP,670346105,2698,324677,SOLE,
NVIDIA CORPORATION,67066G104,10896,1180908,SOLE,
PARAMOUNT GLOBAL,92556H206,24555,273764,SOLE,
PAYPAL HLDGS INC,70450Y103,225281,14699585,SOLE,
PEPSICO INC,713448108,138122,20710013,SOLE,
PFIZER INC,717081103,318813,8078730,SOLE,
PHILIP MORRIS INTL INC,718172109,1362,216190,SOLE,
PNC FINL SVCS GROUP INC,693475105,168140,29553968,SOLE,
PROCTER AND GAMBLE CO,742718109,2495,425243,SOLE,
QUALCOMM INC,747525103,190697,29292966,SOLE,
SCHWAB STRATEGIC TR,808524797,19557,546839,SOLE,
SELECT SECTOR SPDR TR,81369Y803,1150,237452,SOLE,
SKYX PLATFORMS CORP,78471E105,158333,180500,SOLE,
SPDR GOLD TR,78463V107,808,232817,SOLE,
SPDR S&P MIDCAP 400 ETF TR,78467Y107,6469,3451457,SOLE,
SPDR SER TR,78464A763,3817,517960,SOLE,
SPDR SER TR,78464A409,3138,252201,SOLE,
SPDR SER TR,78468R796,13348,610695,SOLE,
STARBUCKS CORP,855244109,162861,15975035,SOLE,
T ROWE PRICE ETF INC,87283Q107,62124,2366303,SOLE,
TARGET CORP,87612E106,59175,6175496,SOLE,
TE CONNECTIVITY PLC,G87052109,88985,12575360,SOLE,
TEXAS INSTRS INC,882508104,94988,17069344,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,15712,7818291,SOLE,
TYSON FOODS INC,902494103,197054,12574016,SOLE,
UNION PAC CORP,907818108,69410,16397418,SOLE,
UNITEDHEALTH GROUP INC,91324P102,17384,9104868,SOLE,
US BANCORP DEL,902973304,662406,27966781,SOLE,
VANGUARD INDEX FDS,922908769,3084,847626,SOLE,
VANGUARD INDEX FDS,922908751,1169,259297,SOLE,
VANGUARD INDEX FDS,922908629,1483,383766,SOLE,
VANGUARD INDEX FDS,922908744,9494,1639998,SOLE,
VANGUARD INDEX FDS,922908363,22355,11488843,SOLE,
VANGUARD INDEX FDS,922908736,3069,1138134,SOLE,
VANGUARD INTL EQUITY INDEX F,922042858,40129,1816269,SOLE,
VANGUARD SPECIALIZED FUNDS,921908844,3467,672593,SOLE,
VANGUARD TAX-MANAGED FDS,921943858,210131,10680993,SOLE,
VANGUARD WHITEHALL FDS,921946406,77860,10040842,SOLE,
VISA INC,92826C839,969,339629,SOLE,
WALMART INC,931142103,4241,372323,SOLE,
WELLS FARGO CO NEW,949746101,221785,15921929,SOLE,
ZIMMER BIOMET HOLDINGS INC,98956P102,131096,14837445,SOLE,
