Company,CUSIP,Shares,Value,Discretion,PutCall
ABERCROMBIE & FITCH CO,002896207,19463,2449808,SOLE,
ACADEMY SPORTS & OUTDOORS IN,00402L107,89106,4451736,SOLE,
ACADIA HEALTHCARE COMPANY IN,00404A109,905419,12847896,SOLE,
ADOBE INC,00724F101,14103,4935909,SOLE,
AFFIRM HLDGS INC,00827B106,66024,4914166,SOLE,
AIRBNB INC,009066101,8531,1157827,SOLE,
ALASKA AIR GROUP INC,011659109,44862,2256559,SOLE,
ALLSTATE CORP,020002101,23798,4953554,SOLE,
ALPHABET INC,02079K107,1141503,358203641,SOLE,
ALTRIA GROUP INC,02209S103,15423,889290,SOLE,
AMAZON COM INC,023135106,2382650,549963273,SOLE,
AMBIQ MICRO INC,023193105,59248,1688568,SOLE,
AMER SPORTS INC,G0260P102,67859,2534534,SOLE,
AMERICAN AIRLS GROUP INC,02376R102,164825,2526767,SOLE,
AMERICAN EAGLE OUTFITTERS IN,02553E106,94930,2503304,SOLE,
ANHEUSER BUSCH INBEV SA/NV,03524A108,35898,2298908,SOLE,
APPLIED MATLS INC,038222105,1131276,290726619,SOLE,
ARGAN INC,04010E109,438858,137502989,SOLE,
ARRAY DIGITAL INFRASTRUCTURE,911684108,64594,3463530,SOLE,
ASML HOLDING N V,N07059210,261003,279236670,SOLE,
ASTERA LABS INC,04626A103,975959,162360539,SOLE,
BAUSCH PLUS LOMB CORP,071705107,152183,2599286,SOLE,
BEST BUY INC,086516101,35479,2374609,SOLE,
BIO-TECHNE CORP,09073M104,3850923,226472782,SOLE,
BJS WHSL CLUB HLDGS INC,05550J101,26740,2407402,SOLE,
BLOCK H & R INC,093671105,114426,4986685,SOLE,
BOOKING HOLDINGS INC,09857L108,1030,5515990,SOLE,
BOOT BARN HLDGS INC,099406100,21432,3782105,SOLE,
BOSTON BEER INC,100557107,5234,1021310,SOLE,
BOSTON SCIENTIFIC CORP,101137107,2944254,280734619,SOLE,
BRITISH AMERN TOB PLC,110448107,30360,1718983,SOLE,
BUCKLE INC,118440106,61083,3263054,SOLE,
BYRNA TECHNOLOGIES INC,12448X201,11715,196695,SOLE,
CABLE ONE INC,12685J105,19552,2206443,SOLE,
CALERES INC,129500104,353129,4297580,SOLE,
CAMDEN PPTY TR,133131102,1837790,202303923,SOLE,
CAMPING WORLD HLDGS INC,13462K109,458424,4460466,SOLE,
CAPITAL ONE FINL CORP,14040H105,1296397,314194777,SOLE,
CARIBOU BIOSCIENCES INC,142038108,652542,1037542,SOLE,
CARTERS INC,146229109,148790,4825260,SOLE,
CARVANA CO,146869102,461874,194920065,SOLE,
CAVA GROUP INC,148929102,42161,2474429,SOLE,
CENTESSA PHARMACEUTICALS PLC,152309100,1643724,41109537,SOLE,
CENTURI HOLDINGS INC,155923105,1672863,42239791,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,23732,4954055,SOLE,
CHEWY INC,16679L109,74985,2478254,SOLE,
CIDARA THERAPEUTICS INC,171757206,455978,100720980,SOLE,
CLEAR SECURE INC,18467V109,140149,4916427,SOLE,
COCA COLA CO,191216100,1562287,109219484,SOLE,
COLGATE PALMOLIVE CO,194162103,9670,764123,SOLE,
COMPASS INC,20464U100,12637206,133575267,SOLE,
CONAGRA BRANDS INC,205887102,144402,2499599,SOLE,
COSTCO WHSL CORP NEW,22160K105,2894,2495612,SOLE,
COUPANG INC,22266T109,1368720,32288105,SOLE,
CURIS INC,231269309,49554,6194,SOLE,
DATADOG INC,23804L103,386254,52526681,SOLE,
DAVE & BUSTERS ENTMT INC,238337109,325487,5276144,SOLE,
DAVE INC,23834J201,16376,3625810,SOLE,
DECKERS OUTDOOR CORP,243537107,24097,2498136,SOLE,
DICKS SPORTING GOODS INC,253393102,834249,165156275,SOLE,
DISNEY WALT CO,254687106,706959,80430725,SOLE,
DOORDASH INC,25809K105,359125,81334630,SOLE,
DUTCH BROS INC,26701L100,8123,497290,SOLE,
EBAY INC.,278642103,24057,2095365,SOLE,
ELANCO ANIMAL HEALTH INC,28414H103,106593,2412200,SOLE,
ENERGIZER HLDGS INC NEW,29272W109,49793,990383,SOLE,
EQUIFAX INC,294429105,22896,4967974,SOLE,
ERIE INDTY CO,29530P102,17317,4963918,SOLE,
ETSY INC,29786A106,45034,2496685,SOLE,
EVOLENT HEALTH INC,30050B101,2539930,10159720,SOLE,
EXPEDIA GROUP INC,30212P303,17947,5084565,SOLE,
FEDEX CORP,31428X106,25023,7228144,SOLE,
FERGUSON ENTERPRISES INC,31488V107,22114,4923240,SOLE,
FIVERR INTL LTD,M4R82T106,202094,3993377,SOLE,
FLOOR & DECOR HLDGS INC,339750101,15624,951345,SOLE,
FLUTTER ENTMT PLC,G3643J108,187022,40217211,SOLE,
FRACTYL HEALTH INC,35168W103,4248492,9346682,SOLE,
FRESHPET INC,358039105,7561,460692,SOLE,
GAP INC,364760108,59454,1522022,SOLE,
GEN DIGITAL INC,668771108,19460,529117,SOLE,
GFL ENVIRONMENTAL INC,36168Q104,5023417,215761342,SOLE,
GODADDY INC,380237107,39923,4953646,SOLE,
HERSHEY CO,427866108,10500,1910790,SOLE,
IMAX CORP,45245E109,133358,4928912,SOLE,
INTUIT,461202103,7491,4962188,SOLE,
INVIVYD INC,00534A102,18970913,46858155,SOLE,
KEURIG DR PEPPER INC,49271V100,47454,1329187,SOLE,
KRAFT HEINZ CO,500754106,87829,2129853,SOLE,
KURA SUSHI USA INC,501270102,101295,5300767,SOLE,
LABCORP HOLDINGS INC,504922105,17564,4406456,SOLE,
LAM RESEARCH CORP,512807306,633084,108371319,SOLE,
LAUDER ESTEE COS INC,518439104,33440,3501837,SOLE,
LEGALZOOM COM INC,52466B103,496034,4925618,SOLE,
LEMONADE INC,52567D107,69864,4972920,SOLE,
LIFE TIME GROUP HOLDINGS INC,53190C102,199413,5300398,SOLE,
LOWES COS INC,548661107,8316,2005487,SOLE,
LULULEMON ATHLETICA INC,550021109,11933,2479797,SOLE,
MAPLEBEAR INC,565394103,1938835,87208798,SOLE,
MARRIOTT INTL INC NEW,571903202,6955,2157719,SOLE,
MARZETTI COMPANY,513847103,9383,1542753,SOLE,
MCCORMICK & CO INC,579780206,44533,3033143,SOLE,
MCDONALDS CORP,580135101,12453,3806010,SOLE,
MEDLINE INC,58507V107,796077,33435234,SOLE,
MERCADOLIBRE INC,58733R102,26149,52670885,SOLE,
MERIT MED SYS INC,589889104,486166,42850671,SOLE,
MICROSOFT CORP,594918104,1150498,556403843,SOLE,
MONDELEZ INTL INC,609207105,9989,537708,SOLE,
MONSTER BEVERAGE CORP NEW,61174X109,2693291,206494621,SOLE,
MURPHY USA INC,626755102,11023,4448001,SOLE,
NATERA INC,632307104,944028,216267375,SOLE,
NETFLIX INC,64110L106,50797,4762727,SOLE,
NETSKOPE INC,64119N608,465736,8169009,SOLE,
NEW YORK TIMES CO,650111107,21247,1474967,SOLE,
NEWAMSTERDAM PHARMA COMPANY,N62509109,1894226,66449448,SOLE,
NIKE INC,654106103,37610,2396133,SOLE,
NOVARTIS AG,66987V109,11073,1526635,SOLE,
NU HLDGS LTD,G6683N103,11714564,196101801,SOLE,
NVIDIA CORPORATION,67066G104,2986355,556955208,SOLE,
OLLIES BARGAIN OUTLET HLDGS,681116109,45061,4939136,SOLE,
PEABODY ENERGY CORP,704551100,4067173,120795038,SOLE,
PEPSICO INC,713448108,3976,570636,SOLE,
PHILIP MORRIS INTL INC,718172109,2177027,349195131,SOLE,
PRIMO BRANDS CORPORATION,741623102,44083,720757,SOLE,
QUEST DIAGNOSTICS INC,74834L100,23895,4146499,SOLE,
QUIDELORTHO CORP,219798105,59783,1707402,SOLE,
REVOLVE GROUP INC,76156B107,147012,4438292,SOLE,
REYNOLDS CONSUMER PRODS INC,76171L106,138396,3172036,SOLE,
RH,74967X103,12436,2227909,SOLE,
ROBLOX CORP,771049103,517798,41957172,SOLE,
ROCKET PHARMACEUTICALS INC,77313F106,2513110,8821016,SOLE,
ROKU INC,77543R102,45571,4943998,SOLE,
ROLLINS INC,775711104,77450,4648549,SOLE,
ROOT INC,77664L207,63234,4567392,SOLE,
ROSS STORES INC,778296103,9566,1723219,SOLE,
RTX CORPORATION,75513E101,1368842,251045623,SOLE,
SAILPOINT INC,78781J109,966050,19543192,SOLE,
SAVERS VALUE VLG INC,80517M109,119479,1115934,SOLE,
SCHWAB CHARLES CORP,808513105,1253090,125196222,SOLE,
SEABOARD CORP DEL,811543107,693,3080260,SOLE,
SHARKNINJA INC,G8068L108,22474,2514841,SOLE,
SHERWIN WILLIAMS CO,824348106,284317,92127238,SOLE,
SHINHAN FINANCIAL GROUP CO L,824596100,14071,754628,SOLE,
SIRIUSXM HOLDINGS INC,829933100,248591,4970577,SOLE,
SITEONE LANDSCAPE SUPPLY INC,82982L103,39632,4936562,SOLE,
SMARTSTOP SELF STORAG REIT I,83192D402,159563,4936879,SOLE,
SMUCKER J M CO,832696405,27912,2730073,SOLE,
SNOWFLAKE INC,833445109,225835,49539166,SOLE,
SOMNIGROUP INTERNATIONAL INC,88023U101,1141820,101941690,SOLE,
SOUTHWEST AIRLS CO,844741108,43518,1798599,SOLE,
SOUTHWEST GAS HLDGS INC,844895102,2048053,163885201,SOLE,
SPECTRUM BRANDS HLDGS INC NE,84790A105,51588,3047819,SOLE,
STUBHUB HLDGS INC,86384P109,931473,12602830,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1658650,504047149,SOLE,
TAPESTRY INC,876030107,19582,2501992,SOLE,
TARGET CORP,87612E106,5067,495299,SOLE,
THE CAMPBELLS COMPANY,134429109,33206,925451,SOLE,
THREDUP INC,88556E102,691689,4419893,SOLE,
TOPGOLF CALLAWAY BRANDS CORP,131193104,258111,3012155,SOLE,
TRUPANION INC,898202106,133873,5002834,SOLE,
TURNING PT BRANDS INC,90041L105,21675,2349570,SOLE,
TYSON FOODS INC,902494103,35080,2056390,SOLE,
ULTA BEAUTY INC,90384S303,817,494293,SOLE,
UNION PAC CORP,907818108,1313207,303771043,SOLE,
