Company,CUSIP,Shares,Value,Discretion,PutCall
ALLIANCE RESOURCE PARTNERS L,01877R108,127000,3338830,SOLE,
AMERICAN AXLE & MFG HLDGS IN,024061103,529590,3087507,SOLE,
AT&T INC,00206R102,533000,12136410,SOLE,
ATKORE INC,047649108,37000,3087650,SOLE,
BOISE CASCADE CO DEL,09739D100,40000,4754400,SOLE,
BREAD FINANCIAL HOLDINGS INC,018581108,304050,18565291,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,108000,6108480,SOLE,
BUCKLE INC,118440106,105000,5335050,SOLE,
BUILD-A-BEAR WORKSHOP INC,120076104,95000,4373800,SOLE,
CARLYLE GROUP INC,14316J108,70000,3534300,SOLE,
CHORD ENERGY CORPORATION,674215207,52766,6169401,SOLE,
CONDUENT INC,206787103,1549260,6259010,SOLE,
CTO RLTY GROWTH INC NEW,22948Q101,383900,7566669,SOLE,
FOSSIL GROUP INC,34988V106,2571080,4293702,SOLE,
GANNETT CO INC,36472T109,2396625,12126921,SOLE,
GRAY TELEVISION INC,389375106,3384450,10661016,SOLE,
JACKSON FINANCIAL INC,46817M107,137370,11962179,SOLE,
LINCOLN NATL CORP IND,534187109,493685,15654751,SOLE,
MICROSTRATEGY INC,594972408,15250,4416705,SOLE,
NABORS INDUSTRIES LTD,G6359F137,281195,16075919,SOLE,
ONEMAIN HLDGS INC,68268W103,149000,7767370,SOLE,
PITNEY BOWES INC,724479100,24259,175635,SOLE,
QUAD / GRAPHICS INC,747301109,2518130,17551366,SOLE,
SEMLER SCIENTIFIC INC,81684M104,43000,2322000,SOLE,
STELLANTIS N.V,N82405106,390000,5089500,SOLE,
TECHNIPFMC PLC,G87110105,8185,236874,SOLE,
TEVA PHARMACEUTICAL INDS LTD,881624209,10950,241338,SOLE,
TOTALENERGIES SE,89151E109,7650,416925,SOLE,
TUTOR PERINI CORP,901109108,76040,1840168,SOLE,
UGI CORP NEW,902681105,292000,8243160,SOLE,
UNITED NAT FOODS INC,911163103,412500,11265373,SOLE,
VIATRIS INC,92556V106,619000,7706550,SOLE,
WESTERN ALLIANCE BANCORP,957638109,141110,11788328,SOLE,
