Company,CUSIP,Shares,Value,Discretion
ALLIANCE RESOURCE PARTNERS L,01877R108,127000,3319780,SOLE
AMERICAN AXLE & MFG HLDGS IN,024061103,1439920,5874874,SOLE
BOISE CASCADE CO DEL,09739D100,40000,3472800,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,327385,18700231,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,108000,4999320,SOLE
BUCKLE INC,118440106,105000,4761750,SOLE
BUILD-A-BEAR WORKSHOP INC,120076104,105000,5413800,SOLE
CARLYLE GROUP INC,14316J108,70000,3598000,SOLE
CHORD ENERGY CORPORATION,674215207,52766,5110387,SOLE
CONDUENT INC,206787103,2755225,7273794,SOLE
CTO RLTY GROWTH INC NEW,22948Q101,399145,6889243,SOLE
EASTERLY GOVT PPTYS INC,27616P301,146800,3258960,SOLE
FOSSIL GROUP INC,34988V106,3469727,5135196,SOLE
GANNETT CO INC,36472T109,3284510,11758546,SOLE
GRAY MEDIA INC,389375106,3647805,16524557,SOLE
JACKSON FINANCIAL INC,46817M107,124995,11098306,SOLE
JELD-WEN HLDG INC,47580P103,1874420,7347726,SOLE
LINCOLN NATL CORP IND,534187109,569480,19704008,SOLE
LYONDELLBASELL INDUSTRIES N,N53745100,38000,2198680,SOLE
MICROSTRATEGY INC,594972408,15250,6164507,SOLE
NABORS INDUSTRIES LTD,G6359F137,624100,17487282,SOLE
ONEMAIN HLDGS INC,68268W103,149000,8493000,SOLE
QUAD / GRAPHICS INC,747301109,2710380,15313647,SOLE
SEMLER SCIENTIFIC INC,81684M104,53000,2053220,SOLE
STELLANTIS N.V,N82405106,390000,3911700,SOLE
TECHNIPFMC PLC,G87110105,8115,279481,SOLE
TOTALENERGIES SE,89151E109,7650,469633,SOLE
TUTOR PERINI CORP,901109108,12910,603930,SOLE
UGI CORP NEW,902681105,292000,10634640,SOLE
UNITED NAT FOODS INC,911163103,137405,3202911,SOLE
VERIZON COMMUNICATIONS INC,92343V104,198000,8567460,SOLE
VIATRIS INC,92556V106,619000,5527670,SOLE
WESTERN ALLIANCE BANCORP,957638109,83455,6507821,SOLE
