Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,118880,21804970,SOLE
CHARTER COMMUNICATIONS INC N,16119P108,38474,11502187,SOLE
FIDELITY NATIONAL FINANCIAL,31620R303,270000,13343400,SOLE
GILDAN ACTIVEWEAR INC,375916103,615399,23335930,SOLE
GUIDEWIRE SOFTWARE INC,40171V100,124435,17158342,SOLE
INTERACTIVE BROKERS GROUP IN,45841N107,302647,37104522,SOLE
LGI HOMES INC,50187T106,108590,9717719,SOLE
NATURAL RESOURCE PARTNERS L,63900P608,154866,13882188,SOLE
STAR GROUP L P,85512C105,1105928,11767074,SOLE
TRANSDIGM GROUP INC,893641100,21424,27371517,SOLE
