Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,118161,18460293,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,38239,14092219,SOLE,
GILDAN ACTIVEWEAR INC,375916103,611689,27048888,SOLE,
GUIDEWIRE SOFTWARE INC,40171V100,65683,12306367,SOLE,
INTERACTIVE BROKERS GROUP IN,45841N107,257685,42670059,SOLE,
LENNAR CORP,526057104,104000,11937120,SOLE,
LGI HOMES INC,50187T106,49996,3323234,SOLE,
NATURAL RESOURCE PARTNERS L,63900P608,153930,15993327,SOLE,
STAR GROUP L P,85512C105,1099239,14487970,SOLE,
TRANSDIGM GROUP INC,893641100,21293,29454394,SOLE,
