Company,CUSIP,Shares,Value,Discretion
8X8 INC,282914AE0,7542000,6090165,DFND
ACCOLADE INC,00437EAB8,3516000,3067644,DFND
AFFIRM HOLDINGS INC,00827BAB2,7385000,6148012,DFND
AIR TRANSPORT SERVICES GROUP INC,00922RAB1,6833000,6673328,DFND
AKAMAI TECHNOLOGIES INC,00971TAL5,9078000,9599984,DFND
ALARM.COM HOLDINGS INC,011642AB1,11167000,10279223,DFND
ALIBABA GROUP HOLDING LTD,01609W102,122246,8845720,DFND
ALLIANT ENERGY CORP,018802AC2,2600000,2570100,DFND
ALNYLAM PHARMACEUTICALS INC,02043QAB3,2931000,2769429,DFND
ALPHATEC HOLDINGS INC,02081GAB8,4684000,4888924,DFND
ALVOTECH SA,L01800108,2899201,35428236,DFND
ALVOTECH SA,L01800116,4666667,19996668,DFND
AMERICAN AIRLINES GROUP INC,02376RAF9,1800000,2090700,DFND
ANGLOGOLD ASHANTI PLC,G0378L100,6000051,133201132,DFND
ANYWHERE REAL ESTATE INC,75606DAP6,3848000,3068780,DFND
ARBOR REALTY TRUST INC,038923BA5,2493000,2454856,DFND
ARRAY TECHNOLOGIES INC,04271TAB6,3389000,3146286,DFND
ASCENDIS PHARMA A/S,04351PAD3,4489000,5187218,DFND
ATLANTICA SUSTAINABLE INFRASTRUCTURE JERSEY LTD,04916EAB0,3161000,3052152,DFND
AZUL SA,05501U106,1830850,14225704,DFND
BAIDU INC,056752108,422866,44519332,DFND
BANCO BRADESCO SA,059460303,35048124,100237637,DFND
BANCO MACRO SA,05961W105,434300,20924574,DFND
BANDWIDTH INC,05988JAD5,2603000,1892120,DFND
BATTALION OIL CORP,07134L107,3009912,17036101,DFND
BAUSCH HEALTH COS INC,071734107,1300000,13793000,DFND
BENTLEY SYSTEMS INC,08265TAD1,1725000,1555665,DFND
BERRY CORP,08579X101,3697000,29760850,DFND
BILIBILI INC,090040AF3,3062000,2935845,DFND
BLACKLINE INC,09239BAD1,5374000,4889347,DFND
BLACKSTONE MORTGAGE TRUST INC,09257WAE0,4353000,3928582,DFND
BLOCK INC,852234AJ2,2181000,1958756,DFND
BRASKEM SA,105532105,2026792,21342119,DFND
BRIDGEBIO PHARMA INC,10806XAB8,1993000,2145201,DFND
BRIDGEBIO PHARMA INC,10806XAD4,3529000,2891483,DFND
CABLE ONE INC,12685JAE5,32173000,28183548,DFND
CARDLYTICS INC,14161WAB1,704000,650586,DFND
CBL & ASSOCIATES PROPERTIES INC,124830878,4012257,91920830,DFND
CEMEX SAB DE CV,151290889,13989032,126041178,DFND
CHEESECAKE FACTORY INC/THE,163072AA9,10137000,9072049,DFND
CHEGG INC,163092AF6,4394000,3679975,DFND
CHESAPEAKE ENERGY CORP,165167735,6984084,620396204,DFND
CLOUDFLARE INC,18915MAC1,5310000,4990072,DFND
COINBASE GLOBAL INC,19260QAB3,702000,771700,DFND
CONFLUENT INC,20717MAB9,782000,673561,DFND
CRACKER BARREL OLD COUNTRY STORE INC,22410JAB2,8375000,7394374,DFND
DAYFORCE INC,15677JAD0,8255000,7594599,DFND
DIGITALOCEAN HOLDINGS INC,25402DAB8,9318000,7856005,DFND
EAGLE BULK SHIPPING INC,Y2187A150,1098819,68643222,DFND
EAGLE BULK SHIPPING INC,269442AA7,5745000,11372227,DFND
ECD AUTOMOTIVE DESIGN INC,27877D104,75000,70500,DFND
ENPHASE ENERGY INC,29355AAH0,1385000,1278008,DFND
ENVESTNET INC,29404KAG1,8449000,8968613,DFND
ETSY INC,29786AAJ5,4148000,4405175,DFND
ETSY INC,29786AAN6,5023000,3968169,DFND
EURONET WORLDWIDE INC,298736AL3,1406000,1370147,DFND
EVENTBRITE INC,29975EAB5,1151000,1142367,DFND
EVENTBRITE INC,29975EAD1,8423000,7091323,DFND
EZCORP INC,302301AE6,5277000,5244605,DFND
FIRST MAJESTIC SILVER CORP,32076VAD5,16354000,12765932,DFND
FIVERR INTERNATIONAL LTD,33835LAA3,3905000,3524262,DFND
FORD MOTOR CO,345370CZ1,10319000,10716281,DFND
FREEPORT-MCMORAN INC,35671D857,2973713,139823985,DFND
GARRETT MOTION INC,366505105,44082816,438183191,DFND
GREEN PLAINS INC,393222AK0,3240000,3319055,DFND
H WORLD GROUP LTD,44332N106,1225490,47426462,DFND
H WORLD GROUP LTD,44332NAB2,6485000,7513981,DFND
HAEMONETICS CORP,405024AB6,8398000,7752193,DFND
HALOZYME THERAPEUTICS INC,40637HAF6,3592000,3498799,DFND
HDFC BANK LTD,40415F101,26206,1466749,DFND
HERTZ GLOBAL HOLDINGS INC,42806J700,1000000,7830000,DFND
HIMS & HERS HEALTH INC,433000106,666962,10317902,DFND
HNR ACQUISITION CORP,40472A102,220080,587613,DFND
I3 VERTICALS INC,44933TAB2,1273000,1232264,DFND
ICICI BANK LTD,45104G104,2851796,75315932,DFND
INDIVIOR PLC,G4766E116,3351236,71714624,DFND
INFINERA CORP,45667G103,25175384,151807565,DFND
