Company,CUSIP,Shares,Value,Discretion,PutCall
TALEN ENERGY CORP,87422Q109,65000,27649700,DFND,Call
WINGSTOP INC,974155103,50000,12584000,DFND,Put
MARRIOTT INTERNATIONAL INC/MD,571903202,150000,39066000,DFND,Put
ISHARES RUSSELL 2000 ETF,464287655,220000,53231200,DFND,Put
ORACLE CORP,68389X105,500000,140620000,DFND,Put
STATE STREET CORP,78462F103,330000,219839400,DFND,Put
TPI COMPOSITES INC,87266J104,4610003,142910,DFND,
BIOXCEL THERAPEUTICS INC,09075P204,241188,617443,DFND,
EVOLENT HEALTH INC,30050BAH4,1015000,817582,DFND,
FIVERR INTERNATIONAL LTD,33835LAA3,1049000,1049209,DFND,
TRANSPORTADORA DE GAS DEL SUR SA,893870204,56522,1188657,DFND,
IRHYTHM TECHNOLOGIES INC,450056AB2,900000,1239300,DFND,
FASTLY INC,31188VAB6,1354000,1297808,DFND,
ZIFF DAVIS INC,48123VAH5,1351000,1307092,DFND,
PELOTON INTERACTIVE INC,70614WAB6,1354000,1331997,DFND,
ASCENDIS PHARMA A/S,04351PAD3,1000000,1363750,DFND,
WAYFAIR INC,94419LAP6,900000,1373649,DFND,
LYFT INC,55087PAD6,1100000,1423125,DFND,
POST HOLDINGS INC,737446AT1,1300000,1461850,DFND,
BENTLEY SYSTEMS INC,08265TAD1,1886000,1780384,DFND,
DIGITALOCEAN HOLDINGS INC,25402DAB8,2031000,1918177,DFND,
SNAP INC,83304AAB2,2063000,1976104,DFND,
ESPERION THERAPEUTICS INC,29664WAB1,2114000,2109772,DFND,
UBER TECHNOLOGIES INC,90353TAM2,1503000,2213167,DFND,
ON SEMICONDUCTOR CORP,682189AS4,1950000,2223975,DFND,
GROUPON INC,399473AF4,2382000,2298630,DFND,
BRIDGEBIO PHARMA INC,10806XAB8,1850000,2600637,DFND,
HERBALIFE LTD,42703MAF0,2847000,2653404,DFND,
Q2 HOLDINGS INC,74736LAF6,2701000,2678041,DFND,
BLOCK INC,852234AK9,3371000,3078565,DFND,
BILL HOLDINGS INC,090043AD2,3357000,3132920,DFND,
CERENCE INC,156727AD1,4061000,3387367,DFND,
NEOGENOMICS INC,64049MAB6,3930000,3399450,DFND,
UNITY SOFTWARE INC,91332UAB7,3751000,3581267,DFND,
GUESS INC,401617AF2,3621000,3594704,DFND,
