Company,CUSIP,Shares,Value,Discretion,PutCall
ABM INDS INC,000957100,289953,12938,SOLE,
ALPHABET INC,02079K107,38000,5786,SOLE,
AMERICAN EXPRESS CO,025816109,18500,4212,SOLE,
APPLE INC,037833100,14500,2486,SOLE,
APTIV PLC,G6095L109,42000,3345,SOLE,
AVANTOR INC,05352A100,294184,7522,SOLE,
AXALTA COATING SYS LTD,G0750C108,139105,4784,SOLE,
BAXTER INTL INC,071813109,222000,9488,SOLE,
BECTON DICKINSON & CO,075887109,27000,6681,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,13500,5677,SOLE,
BLUE BIRD CORP,095306106,92000,3527,SOLE,
BRADY CORP,104674106,37000,2193,SOLE,
CARRIER GLOBAL CORPORATION,14448C104,73000,4243,SOLE,
CBRE GROUP INC,12504L109,80000,7779,SOLE,
CENTRAL GARDEN & PET CO,153527205,83000,3064,SOLE,
CISCO SYS INC,17275R102,176000,8784,SOLE,
CITIZENS FINL GROUP INC,174610105,326000,11831,SOLE,
COMCAST CORP NEW,20030N101,90000,3902,SOLE,
CORNING INC,219350105,257000,8471,SOLE,
CORTEVA INC,22052L104,157000,9054,SOLE,
CRACKER BARREL OLD CTRY STOR,22410J106,85000,6182,SOLE,
CUMMINS INC,231021106,23500,6924,SOLE,
CUSHMAN WAKEFIELD PLC,G2717B108,233000,2437,SOLE,
CVS HEALTH CORP,126650100,129000,10289,SOLE,
DEERE & CO,244199105,20500,8420,SOLE,
DELTA AIR LINES INC DEL,247361702,168000,8042,SOLE,
DENNYS CORP,24869P104,815813,7310,SOLE,
DINE BRANDS GLOBAL INC,254423106,226000,10504,SOLE,
DISNEY WALT CO,254687106,119000,14561,SOLE,
DOUGLAS DYNAMIC INC,25960R105,44000,1061,SOLE,
DOVER CORP,260003108,31000,5493,SOLE,
EASTMAN CHEM CO,277432100,54000,5412,SOLE,
EBAY INC,278642103,111784,5900,SOLE,
EQUIFAX INC,294429105,10000,2675,SOLE,
FEDEX CORP,31428X106,27000,7823,SOLE,
FIDELITY NATL INFORMATION SV,31620M106,99000,7344,SOLE,
FIFTH THIRD BANCORP,316773100,242000,9005,SOLE,
FIRST ADVANTAGE,31846B108,57000,925,SOLE,
FIRST HAWAIIAN INC,32051X108,98000,2152,SOLE,
FORTIVE CORP,34959J108,49059,4220,SOLE,
GATES INDUSTRIAL CORPRATIN P,G39108108,204000,3613,SOLE,
GENERAL DYNAMICS,369550108,11000,3107,SOLE,
GENERAL MTRS CO,37045V100,180607,8191,SOLE,
GOLDMAN SACHS GROUP INC,38141G104,16000,6683,SOLE,
GRAHAM CORP,384556106,48000,1309,SOLE,
