Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HLDG LTD,01609W102,499110,56604098,SOLE
ALPHABET INC,02079K305,613053,108038284,SOLE
AMAZON COM INC,023135106,563482,123622322,SOLE
ANGI INC,00183L201,808005,12330156,SOLE
APA CORPORATION,03743Q108,50000,914500,SOLE
BIOGEN INC,09062X103,320466,40247340,SOLE
CANADA GOOSE HLDGS INC,135086106,735468,8229887,SOLE
CITIGROUP INC,172967424,1345717,114547430,SOLE
CLEAR SECURE INC,18467V109,139700,3878072,SOLE
COINBASE GLOBAL INC,19260Q107,203500,71324773,SOLE
CROCS INC,227046109,503378,50982102,SOLE
CVS HEALTH CORP,126650100,1241924,85667945,SOLE
DAVE & BUSTERS ENTMT INC,238337109,2133287,64169275,SOLE
DELTA AIR LINES INC DEL,247361702,899700,44247227,SOLE
ENERGY TRANSFER L P,29273V100,4076356,73904328,SOLE
EXPEDIA GROUP INC,30212P303,261855,44169707,SOLE
FIDELITY WISE ORIGIN BITCOIN,315948109,620226,58295042,SOLE
GENERAL MTRS CO,37045V100,944753,46491273,SOLE
IAC INC,44891N208,1739006,64934485,SOLE
ILLUMINA INC,452327109,582190,55546768,SOLE
JD.COM INC,47215P106,789127,25757119,SOLE
JPMORGAN CHASE & CO.,46625H100,29383,8518403,SOLE
KOSMOS ENERGY LTD,500688106,19339717,33264314,SOLE
LENNAR CORP,526057302,12500,1315625,SOLE
MATTEL INC,577081102,1464398,28877928,SOLE
META PLATFORMS INC,30303M102,144295,106503037,SOLE
NOBLE CORP PLC,G65431127,718290,19070600,SOLE
NORWEGIAN CRUISE LINE HLDG L,G66721104,4708579,95489989,SOLE
NVIDIA CORPORATION,67066G104,634173,100192915,SOLE
ONEMAIN HLDGS INC,68268W103,1032501,58852576,SOLE
PELOTON INTERACTIVE INC,70614W100,2689816,18667321,SOLE
PRECIGEN INC,74017N105,16268741,23101613,SOLE
QXO INC,82846H405,6542202,140919031,SOLE
ROYALTY PHARMA PLC,G7709Q104,2987988,107657202,SOLE
SEADRILL LTD,G7997W102,2229549,58525650,SOLE
SOFI TECHNOLOGIES INC,83406F102,3157431,57496818,SOLE
TEMPUS AI INC,88023B103,388627,24693360,SOLE
UBS GROUP AG,H42097107,1937639,65530949,SOLE
UNITED AIRLS HLDGS INC,910047109,668651,53244653,SOLE
UNITEDHEALTH GROUP INC,91324P102,191932,59877073,SOLE
