Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,489677,87519945,SOLE,
ALPHABET INC,02079K305,613333,149101308,SOLE,
AMAZON COM INC,023135106,561976,123393060,SOLE,
ANGI INC,00183L201,799342,12997296,SOLE,
APA CORPORATION,03743Q108,50000,1214000,SOLE,
BIOGEN INC,09062X103,396649,55562531,SOLE,
CITIGROUP INC,172967424,1310407,133006291,SOLE,
CLEAR SECURE INC,18467V109,125000,4172500,SOLE,
COINBASE GLOBAL INC,19260Q107,171736,57959072,SOLE,
CROCS INC,227046109,588794,49193697,SOLE,
CVS HEALTH CORP,126650100,1239894,93475577,SOLE,
DAVE & BUSTERS ENTMT INC,238337109,2137257,38812579,SOLE,
DELTA AIR LINES INC DEL,247361702,861298,48878660,SOLE,
ENERGY TRANSFER L P,29273V100,4888138,83880440,SOLE,
EXPEDIA GROUP INC,30212P303,253477,54180803,SOLE,
FIDELITY WISE ORIGIN BITCOIN,315948109,619752,61857447,SOLE,
GENERAL MTRS CO,37045V100,940597,57348190,SOLE,
IAC INC,44891N208,2108245,71827891,SOLE,
ILLUMINA INC,452327109,581359,55211644,SOLE,
JD.COM INC,47215P106,842937,29485949,SOLE,
JPMORGAN CHASE & CO.,46625H100,29379,9267059,SOLE,
KOSMOS ENERGY LTD,500688106,3314653,5502324,SOLE,
LENNAR CORP,526057302,12500,1499875,SOLE,
MATTEL INC,577081102,2099262,35330577,SOLE,
META PLATFORMS INC,30303M102,144000,105750697,SOLE,
NOBLE CORP PLC,G65431127,1081074,30572770,SOLE,
NORWEGIAN CRUISE LINE HLDG L,G66721104,4564871,112432761,SOLE,
NVIDIA CORPORATION,67066G104,632684,118046253,SOLE,
ONEMAIN HLDGS INC,68268W103,936913,52898121,SOLE,
PELOTON INTERACTIVE INC,70614W100,2533688,22803190,SOLE,
PRECIGEN INC,74017N105,26460848,87056189,SOLE,
QXO INC,82846H405,6537027,124595740,SOLE,
ROYALTY PHARMA PLC,G7709Q104,3117850,109997741,SOLE,
SEADRILL LTD,G7997W102,2229936,67366360,SOLE,
SOFI TECHNOLOGIES INC,83406F102,2254066,59552412,SOLE,
SPDR S&P 500 ETF TR,78462F103,421,280509,SOLE,
STRATEGY INC,594972408,2092,674404,SOLE,
TEMPUS AI INC,88023B103,387870,31304987,SOLE,
UBS GROUP AG,H42097107,1500849,61534800,SOLE,
UNITED AIRLS HLDGS INC,910047109,666515,64318722,SOLE,
UNITEDHEALTH GROUP INC,91324P102,371363,128231547,SOLE,
