Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,7547582,1437361516,SOLE
ALPHABET INC,02079K305,3986488,754642178,SOLE
BROOKFIELD CORP,11271J107,34893064,2004606527,SOLE
CANADIAN PACIFIC KANSAS CITY,13646K108,14877651,1076695603,SOLE
CHIPOTLE MEXICAN GRILL INC,169656105,24653533,1486608040,SOLE
HILTON WORLDWIDE HLDGS INC,43300A203,5440546,1344685349,SOLE
HOWARD HUGHES HOLDINGS INC,44267T102,18852064,1450100763,SOLE
NIKE INC,654106103,18768946,1420246144,SOLE
RESTAURANT BRANDS INTL INC,76131D103,23000914,1499199575,SOLE
SEAPORT ENTMT GROUP INC,812215200,5023780,140414651,SOLE
