Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,6324031,988003363,SOLE,
ALPHABET INC,02079K305,4437980,686289227,SOLE,
BROOKFIELD CORP,11271J107,41004657,2149054073,SOLE,
CANADIAN PACIFIC KANSAS CITY,13646K108,14799796,1039093677,SOLE,
CHIPOTLE MEXICAN GRILL INC,169656105,21541177,1081582497,SOLE,
HERTZ GLOBAL HLDGS INC,42806J700,15000000,59100000,SOLE,
HILTON WORLDWIDE HLDGS INC,43300A203,3000770,682825214,SOLE,
HOWARD HUGHES HOLDINGS INC,44267T102,18852064,1396560901,SOLE,
RESTAURANT BRANDS INTL INC,76131D103,23000914,1532780909,SOLE,
SEAPORT ENTMT GROUP INC,812215200,5023780,107860557,SOLE,
UBER TECHNOLOGIES INC,90353T100,30301161,2207742590,SOLE,
