Company,CUSIP,Shares,Value,Discretion,PutCall
ABBOTT LABS,002824100,3962230,496427772,SOLE,
ABCELLERA BIOLOGICS INC,00288U106,102508,350577,SOLE,
ACCENTURE PLC IRELAND,G1151C101,1882707,505130377,SOLE,
ACUITY INC,00508Y102,1061,382002,SOLE,
ADAPTIVE BIOTECHNOLOGIES COR,00650F109,325767,5290456,SOLE,
ADOBE INC,00724F101,1345588,470942284,SOLE,
ADT INC DEL,00090Q103,49368,398400,SOLE,
AEHR TEST SYS,00760J108,30111,607941,SOLE,
AEROVIRONMENT INC,008073108,1689,408552,SOLE,
AFFIRM HLDGS INC,00827B106,32969,2453883,SOLE,
AIRBNB INC,009066101,3030730,411330740,SOLE,
ALPHABET INC,02079K305,30864,9660396,SOLE,
ALPHABET INC,02079K107,4018121,1260886646,SOLE,
ALPHATEC HLDGS INC,02081G201,95761,2014811,SOLE,
AMAZON COM INC,023135106,8653721,1997451824,SOLE,
AMERICAN PUB ED INC,02913V103,14117,533623,SOLE,
AMERICAN SUPERCONDUCTOR CORP,030111207,23565,678201,SOLE,
AMPRIUS TECHNOLOGIES INC,03214Q108,288290,2274608,SOLE,
AON PLC,G0403H108,1846294,651520305,SOLE,
APPIAN CORP,03782L101,10366,367164,SOLE,
APPLE INC,037833100,7724,2099744,SOLE,
ARGAN INC,04010E109,24886,7797282,SOLE,
ARMSTRONG WORLD INDS INC NEW,04247X102,1511,288752,SOLE,
ARTIVION INC,228903100,25259,1152063,SOLE,
ASCENDIS PHARMA A/S,04351P101,1211,258234,SOLE,
ASML HOLDING N V,N07059210,11195,11977312,SOLE,
ASP ISOTOPES INC,00218A105,139511,746384,SOLE,
ASTEC INDS INC,046224101,22344,967942,SOLE,
ASTRONICS CORP,046433108,53691,2912200,SOLE,
AUTODESK INC,052769106,1182,349785,SOLE,
AUTOMATIC DATA PROCESSING IN,053015103,1976,508394,SOLE,
AXOS FINANCIAL INC,05465C100,10986,946554,SOLE,
AXT INC,00246W103,22215,363215,SOLE,
BABCOCK & WILCOX ENTERPRISES,05614L209,122280,775255,SOLE,
BEL FUSE INC,077347300,22522,3820407,SOLE,
BLOOM ENERGY CORP,093712107,75434,6554460,SOLE,
BLOOM ENERGY CORP,093712107,21600,1876824,SOLE,Put
BOSTON SCIENTIFIC CORP,101137107,4019552,383264286,SOLE,
BRIDGEBIO PHARMA INC,10806X102,38241,2925054,SOLE,
BROADCOM INC,11135F101,3531637,1222299638,SOLE,
BROOKDALE SR LIVING INC,112463104,200588,2164345,SOLE,
BUTTERFLY NETWORK INC,124155102,472971,1797290,SOLE,
BWX TECHNOLOGIES INC,05605H100,32328,5587572,SOLE,
BWX TECHNOLOGIES INC,05605H100,12500,2160500,SOLE,Put
CAMECO CORP,13321L108,28174,2577639,SOLE,
CANADIAN SOLAR INC,136635109,22223,528241,SOLE,
CARPENTER TECHNOLOGY CORP,144285103,6062,1908560,SOLE,
CARVANA CO,146869102,8974,3787207,SOLE,
CECO ENVIRONMENTAL CORP,125141101,69775,4176034,SOLE,
CELCUITY INC,15102K100,4660,464788,SOLE,
CENTRAL PAC FINL CORP,154760409,22150,690194,SOLE,
CLEAR CHANNEL OUTDOOR HLDGS,18453H106,95912,211966,SOLE,
CLEAR SECURE INC,18467V109,39325,1379521,SOLE,
COMPOSECURE INC,20459V105,33395,643856,SOLE,
CONSTELLATION ENERGY CORP,21037T109,2812,993395,SOLE,
CONSTRUCTION PARTNERS INC,21044C107,10615,1152258,SOLE,
COOPER STD HLDGS INC,21676P103,7635,250657,SOLE,
CORPORACION AMER ARPTS S A,L1995B107,51919,1349894,SOLE,
COSTAR GROUP INC,22160N109,4890936,328866546,SOLE,
CREDO TECHNOLOGY GROUP HOLDI,G25457105,7915,1138889,SOLE,
CURTISS WRIGHT CORP,231561101,1211,667588,SOLE,
CYTOKINETICS INC,23282W605,9584,608967,SOLE,
DAVE INC,23834J201,11805,2613745,SOLE,
DENALI THERAPEUTICS INC,24823R105,26900,444119,SOLE,
DLOCAL LTD,G29018101,466809,6600679,SOLE,
ELI LILLY & CO,532457108,1246090,1339147991,SOLE,
EMBRAER S.A.,29082A107,7924,510068,SOLE,
EOS ENERGY ENTERPRISES INC,29415C101,21080,241577,SOLE,
ERMENEGILDO ZEGNA N V,N30577105,42768,438372,SOLE,
ERO COPPER CORP,296006109,45544,1288440,SOLE,
ESPERION THERAPEUTICS INC NE,29664W105,116292,430280,SOLE,
ESQUIRE FINL HLDGS INC,29667J101,11709,1195138,SOLE,
ESTABLISHMENT LABS HLDGS INC,G31249108,17475,1273578,SOLE,
FIGS INC,30260D103,48828,554686,SOLE,
FIGURE TECHNOLOGY SOLUTIO,349381103,12803,522875,SOLE,
FIRST SOLAR INC,336433107,8302,2168731,SOLE,
FTAI AVIATION LTD,G3730V105,2748,540944,SOLE,
GAP INC,364760108,12860,329216,SOLE,
GARTNER INC,366651107,8753,2208301,SOLE,
GENEDX HOLDINGS CORP,81663L200,59861,7785522,SOLE,
GLOBAL X FDS,37954Y889,27566,2266661,SOLE,
GLOBANT S A,L44385109,90462,5913474,SOLE,
GRAHAM CORP,384556106,6217,399318,SOLE,
GRAIL INC,384747101,13526,1157690,SOLE,
GREEN BRICK PARTNERS INC,392709101,6526,408919,SOLE,
GRID DYNAMICS HLDGS INC,39813G109,19383,175028,SOLE,
GRUPO FINANCIERO GALICIA S.A,399909100,21373,1152860,SOLE,
GUARDANT HEALTH INC,40131M109,19667,2008787,SOLE,
HCI GROUP INC,40416E103,18126,3474573,SOLE,
HDFC BANK LTD,40415F101,367007,13410415,SOLE,
HEALTHEQUITY INC,42226A107,4980,456218,SOLE,
HOLLEY INC,43538H103,77032,318142,SOLE,
HOWARD HUGHES HOLDINGS INC,44267T102,13980,1115185,SOLE,
HURON CONSULTING GROUP INC,447462102,15086,2608520,SOLE,
ICICI BANK LIMITED,45104G104,123872,3691396,SOLE,
ICON PLC,G4705A100,105206,19170588,SOLE,
IDEXX LABS INC,45168D104,960537,649831919,SOLE,
IES HLDGS INC,44951W106,10941,4256268,SOLE,
IHEARTMEDIA INC,45174J509,155516,646947,SOLE,
INTUIT,461202103,512656,339593775,SOLE,
INTUITIVE SURGICAL INC,46120E602,842618,477224970,SOLE,
IRADIMED CORP,46266A109,26891,2615956,SOLE,
IRSA INVERSIONES Y REP S A,450047303,102911,1702148,SOLE,
ISHARES TR,46436E718,4972,499089,SOLE,
ISHARES TR,464287200,13669,9362445,SOLE,
ISHARES TR,464287572,2743,347418,SOLE,
ISHARES TR,464288257,610133,86327787,SOLE,
ISHARES TR,464288240,126761,8509462,SOLE,
ISHARES TR,464287614,776086,367321352,SOLE,
IVANHOE ELECTRIC INC,46578C108,157882,2522954,SOLE,
JFROG LTD,M6191J100,9884,617355,SOLE,
JOBY AVIATION INC,G65163100,250067,3300884,SOLE,
KARMAN HLDGS INC,485924104,6455,472312,SOLE,
KAROOOOO LTD,Y4600W108,74821,3404356,SOLE,
KODIAK SCIENCES INC,50015M109,41340,1155866,SOLE,
KRATOS DEFENSE & SEC SOLUTIO,50077B207,19697,1495199,SOLE,
KURA ONCOLOGY INC,50127T109,90847,943900,SOLE,
LATHAM GROUP INC,51819L107,112388,713664,SOLE,
LIFE TIME GROUP HOLDINGS INC,53190C102,9609,255407,SOLE,
LIMBACH HLDGS INC,53263P105,5892,458692,SOLE,
LIQUIDIA CORPORATION,53635D202,33538,1156726,SOLE,
LUXEXPERIENCE BV,55406W103,50258,419654,SOLE,
LYFT INC,55087P104,18239,353289,SOLE,
MAKEMYTRIP LIMITED MAURITIUS,V5633W109,53658,4406429,SOLE,
MAMAS CREATIONS INC,56146T103,32989,445022,SOLE,
MASTERCARD INCORPORATED,57636Q104,2131727,1216959930,SOLE,
MEDPACE HLDGS INC,58506Q109,696,390908,SOLE,
MEDTRONIC PLC,G5960L103,84500,8117020,SOLE,
MERCADOLIBRE INC,58733R102,47920,96523261,SOLE,
MESOBLAST LTD,590717401,23005,415010,SOLE,
MICROSOFT CORP,594918104,3909985,1890947237,SOLE,
MILLICOM INTL CELLULAR S A,L6388F110,17685,980456,SOLE,
