Company,CUSIP,Shares,Value,Discretion
ABM INDS INC,000957100,963943,45507749,SOLE
ADIENT PLC,G0084W101,4174493,81235634,SOLE
ADOBE INC,00724F101,583,225551,SOLE
ADVANCE AUTO PARTS INC,00751Y106,4394964,204321876,SOLE
ALIBABA GROUP HLDG LTD,01609W102,53338,6049022,SOLE
ALKERMES PLC,G01767105,7439,212830,SOLE
AMBEV SA,02319V103,10315005,24859161,SOLE
AMDOCS LTD,G02602103,132812,12117767,DFND
AMDOCS LTD,G02602103,6418253,585601404,SOLE
AMERICAN INTL GROUP INC,026874784,429369,36749693,SOLE
AMERICAN WOODMARK CORPORATIO,030506109,1148331,61286425,SOLE
ARCELORMITTAL SA LUXEMBOURG,03938L203,37354,1179632,SOLE
ARCOS DORADOS HOLDINGS INC,G0457F107,6533482,51549173,SOLE
ARROW ELECTRS INC,042735100,221239,28192486,SOLE
ASSOCIATED BANC CORP,045487105,1859542,45354229,SOLE
AVNET INC,053807103,7341299,389676151,SOLE
BAIDU INC,056752108,276435,23707066,SOLE
BANK AMERICA CORP,060505104,282564,13370928,DFND
BANK AMERICA CORP,060505104,6294179,297840550,SOLE
BARCLAYS PLC,06738E204,64604,1200997,SOLE
BAXTER INTL INC,071813109,674825,20433701,DFND
BAXTER INTL INC,071813109,38661660,1170675065,SOLE
BREAD FINANCIAL HOLDINGS INC,018581108,800143,45704168,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,246566,11413540,DFND
BRISTOL-MYERS SQUIBB CO,110122108,14596909,675690918,SOLE
C H ROBINSON WORLDWIDE INC,12541W209,251220,24104559,SOLE
CAL MAINE FOODS INC,128030202,2823,281255,SOLE
CAPITAL ONE FINL CORP,14040H105,93241,19837955,DFND
CAPITAL ONE FINL CORP,14040H105,5328294,1133647831,SOLE
CBRE GROUP INC,12504L109,295228,41367347,SOLE
CHARTER COMMUNICATIONS INC N,16119P108,30763,12576222,DFND
CHARTER COMMUNICATIONS INC N,16119P108,2619269,1070783360,SOLE
CIA ENERGETICA DE MINAS GERA,204409601,1588094,3112664,SOLE
CIRRUS LOGIC INC,172755100,2327,242601,SOLE
CISCO SYS INC,17275R102,1599953,111004739,SOLE
CITIGROUP INC,172967424,233968,19915356,DFND
CITIGROUP INC,172967424,13340732,1135563108,SOLE
CNO FINL GROUP INC,12621E103,2552298,98467657,SOLE
COGNIZANT TECHNOLOGY SOLUTIO,192446102,180764,14105015,DFND
COGNIZANT TECHNOLOGY SOLUTIO,192446102,17269927,1347572404,SOLE
COLUMBIA BKG SYS INC,197236102,1541697,36044876,SOLE
COMERICA INC,200340107,422573,25206479,SOLE
CONCENTRIX CORP,20602D101,2276780,120339207,SOLE
COREBRIDGE FINL INC,21871X109,391221,13888346,DFND
COREBRIDGE FINL INC,21871X109,18332480,650803040,SOLE
CREDICORP LTD,G2519Y108,1027717,229715304,SOLE
CVS HEALTH CORP,126650100,387600,26736648,DFND
CVS HEALTH CORP,126650100,16359253,1128461272,SOLE
DANA INC,235825205,157419,2699736,SOLE
DELL TECHNOLOGIES INC,24703L202,1703,208788,SOLE
DELTA AIR LINES INC DEL,247361702,174364,8575222,DFND
DELTA AIR LINES INC DEL,247361702,4138053,203509447,SOLE
DIAMONDROCK HOSPITALITY CO,252784301,8785278,67295229,SOLE
DISNEY WALT CO,254687106,2544,315481,SOLE
DOLLAR GEN CORP NEW,256677105,163638,18716914,DFND
DOLLAR GEN CORP NEW,256677105,11685300,1336564614,SOLE
DOUGLAS DYNAMICS INC,25960R105,2281587,67238369,SOLE
DOW INC,260557103,355607,9416473,DFND
DOW INC,260557103,26735631,707959509,SOLE
ELEVANCE HEALTH INC,036752103,217276,84511673,SOLE
ENVISTA HOLDINGS CORPORATION,29415F104,2459082,48050462,SOLE
EQUINOR ASA,29446M102,13422,337431,SOLE
EQUITABLE HLDGS INC,29452E101,116546,6538231,DFND
EQUITABLE HLDGS INC,29452E101,4124664,231393650,SOLE
EXXON MOBIL CORP,30231G102,654086,70510471,SOLE
FIDELITY NATIONAL FINANCIAL,31620R303,223336,12520216,SOLE
FIFTH THIRD BANCORP,316773100,951468,39133879,SOLE
FMC CORP,302491303,561418,23439202,SOLE
FRESENIUS MEDICAL CARE AG,358029106,738968,21112316,DFND
FRESENIUS MEDICAL CARE AG,358029106,13924014,397809085,SOLE
GENERAL DYNAMICS CORP,369550108,291536,85029390,SOLE
GENESCO INC,371532102,1433190,28219511,SOLE
GENPACT LIMITED,G3922B107,732142,32221569,SOLE
GENUINE PARTS CO,372460105,596051,72306947,SOLE
GLOBAL PMTS INC,37940X102,181644,14538786,DFND
GLOBAL PMTS INC,37940X102,10868609,869923464,SOLE
GLOBE LIFE INC,37959E102,945983,117576227,SOLE
GOLDMAN SACHS GROUP INC,38141G104,126315,89399441,SOLE
GSK PLC,37733W204,7510,288384,SOLE
HALLIBURTON CO,406216101,3734069,76100326,SOLE
HARTFORD INSURANCE GROUP INC,416515104,1735,220119,SOLE
