Company,CUSIP,Shares,Value,Discretion,PutCall
ABM INDS INC,000957100,1171529,49555677,SOLE,
ACCENTURE PLC IRELAND,G1151C101,1307722,350861853,SOLE,
ADIENT PLC,G0084W101,3677070,70489432,SOLE,
ADOBE INC,00724F101,837,292942,SOLE,
ADVANCE AUTO PARTS INC,00751Y106,3973493,156158275,SOLE,
AEBI SCHMIDT HLDG AG,H00501108,4250372,53767206,SOLE,
ALIBABA GROUP HLDG LTD,01609W102,25437,3728586,SOLE,
ALPHABET INC,02079K305,171157,53572141,SOLE,
AMBEV SA,02319V103,4421619,10921398,SOLE,
AMDOCS LTD,G02602103,132812,10692694,DFND,
AMDOCS LTD,G02602103,11904203,958407384,SOLE,
AMERICAN INTL GROUP INC,026874784,440331,37670317,SOLE,
AMERICAN WOODMARK CORPORATIO,030506109,1150214,61996535,SOLE,
ARCELORMITTAL SA LUXEMBOURG,03938L203,34475,1571048,SOLE,
ARCHER DANIELS MIDLAND CO,039483102,4842,278367,SOLE,
ARCOS DORADOS HOLDINGS INC,G0457F107,10562564,77529220,SOLE,
ARROW ELECTRS INC,042735100,211106,23259659,SOLE,
ASSOCIATED BANC CORP,045487105,1745153,44955141,SOLE,
AVNET INC,053807103,7037798,338377328,SOLE,
BAIDU INC,056752108,56507,7383205,SOLE,
BANK AMERICA CORP,060505104,282564,15541020,DFND,
BANK AMERICA CORP,060505104,6197531,340864205,SOLE,
BARCLAYS PLC,06738E204,44945,1143856,SOLE,
BAXTER INTL INC,071813109,1082862,20693493,DFND,
BAXTER INTL INC,071813109,68963389,1317890364,SOLE,
BREAD FINANCIAL HOLDINGS INC,018581108,640130,47388824,SOLE,
BRISTOL-MYERS SQUIBB CO,110122108,246566,13299770,DFND,
BRISTOL-MYERS SQUIBB CO,110122108,17696937,954572782,SOLE,
CAPITAL ONE FINL CORP,14040H105,77892,18877905,DFND,
CAPITAL ONE FINL CORP,14040H105,4942961,1197976028,SOLE,
CBRE GROUP INC,12504L109,296040,47600272,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,118715,24781756,SOLE,
CIA ENERGETICA DE MINAS GERA,204409601,1080784,2161568,SOLE,
CINCINNATI FINL CORP,172062101,1792,292669,SOLE,
CIRRUS LOGIC INC,172755100,2222,263307,SOLE,
CISCO SYS INC,17275R102,1396376,107562843,SOLE,
CITIGROUP INC,172967424,175639,20495315,DFND,
CITIGROUP INC,172967424,10439495,1218184672,SOLE,
CNO FINL GROUP INC,12621E103,2462868,104598004,SOLE,
COGNIZANT TECHNOLOGY SOLUTIO,192446102,180764,15003412,DFND,
COGNIZANT TECHNOLOGY SOLUTIO,192446102,17447915,1448176945,SOLE,
COLUMBIA BKG SYS INC,197236102,1804394,50432812,SOLE,
COMERICA INC,200340107,374001,32511907,SOLE,
CONCENTRIX CORP,20602D101,2927196,121712810,SOLE,
CONSTELLATION BRANDS INC,21036P108,589891,81381362,SOLE,
COREBRIDGE FINL INC,21871X109,391221,11803138,DFND,
COREBRIDGE FINL INC,21871X109,23241189,701186672,SOLE,
CREDICORP LTD,G2519Y108,1068942,306786354,SOLE,
CVS HEALTH CORP,126650100,294840,23398502,DFND,
CVS HEALTH CORP,126650100,15286467,1213134021,SOLE,
DELTA AIR LINES INC DEL,247361702,174364,12100862,DFND,
DELTA AIR LINES INC DEL,247361702,2808429,194904973,SOLE,
DIAMONDROCK HOSPITALITY CO,252784301,5316555,47636333,SOLE,
DISNEY WALT CO,254687106,90219,10264216,SOLE,
DNOW INC,67011P100,4161129,55134959,SOLE,
DOCUSIGN INC,256163106,4510,308484,SOLE,
DOLLAR GEN CORP NEW,256677105,127841,16973450,DFND,
DOLLAR GEN CORP NEW,256677105,10548982,1400588340,SOLE,
DOUGLAS DYNAMICS INC,25960R105,2126608,69433751,SOLE,
DOW INC,260557103,355607,8314092,DFND,
DOW INC,260557103,27271280,637602526,SOLE,
ELEVANCE HEALTH INC FORMERLY,036752103,216322,75831677,SOLE,
ENVISTA HOLDINGS CORPORATION,29415F104,2325859,50494399,SOLE,
EQUINOR ASA,29446M102,29555,698387,SOLE,
EQUITABLE HLDGS INC,29452E101,116546,5553417,DFND,
EQUITABLE HLDGS INC,29452E101,4208802,200549415,SOLE,
EXXON MOBIL CORP,30231G102,660739,79513331,SOLE,
FIFTH THIRD BANCORP,316773100,937822,43899448,SOLE,
FMC CORP,302491303,572048,7934306,SOLE,
FRESENIUS MEDICAL CARE AG,358029106,738968,17602218,DFND,
FRESENIUS MEDICAL CARE AG,358029106,14013868,333810345,SOLE,
GE AEROSPACE,369604301,736,226710,SOLE,
GENERAL DYNAMICS CORP,369550108,293443,98790520,SOLE,
GENESCO INC,371532102,1243696,30806350,SOLE,
GENPACT LIMITED,G3922B107,732142,34249603,SOLE,
GENUINE PARTS CO,372460105,606880,74621965,SOLE,
GLOBAL PMTS INC,37940X102,181644,14059246,DFND,
GLOBAL PMTS INC,37940X102,11228053,869051302,SOLE,
GLOBE LIFE INC,37959E102,976047,136509933,SOLE,
GOLDMAN SACHS GROUP INC,38141G104,12225,10745775,SOLE,
GSK PLC,37733W204,13444,659292,SOLE,
HALLIBURTON CO,406216101,5333743,150731577,SOLE,
HALOZYME THERAPEUTICS INC,40637H109,4278,287909,SOLE,
HARTFORD INSURANCE GROUP INC,416515104,2127,293101,SOLE,
HAVERTY FURNITURE COS INC,419596101,1458459,34069602,SOLE,
HCA HEALTHCARE INC,40412C101,100830,47073494,SOLE,
HDFC BANK LTD,40415F101,838448,30636890,SOLE,
HEALTHCARE RLTY TR,42226K105,2225789,37727124,SOLE,
HELEN OF TROY LTD,G4388N106,947568,20135820,SOLE,
HENRY SCHEIN INC,806407102,887725,67094256,SOLE,
HOLOGIC INC,436440101,4109,306079,SOLE,
HOOKER FURNISHINGS CORPORATI,439038100,1382690,15610570,SOLE,
HSBC HLDGS PLC,404280406,22906,1801990,SOLE,
HUMANA INC,444859102,77649,19888238,DFND,
HUMANA INC,444859102,3994559,1023126397,SOLE,
HUNTSMAN CORP,447011107,5705178,57051780,SOLE,
ING GROEP N.V.,456837103,68962,1930932,SOLE,
INTEL CORP,458140100,7515,277304,SOLE,
ITAU UNIBANCO HLDG S A,465562106,225157,1612124,SOLE,
JOHNSON & JOHNSON,478160104,245951,50899559,SOLE,
JPMORGAN CHASE & CO.,46625H100,342390,110324906,SOLE,
KASPI KZ JSC,48581R205,2705734,211398997,SOLE,
KB FINL GROUP INC,48241A105,19023,1636739,SOLE,
KEYCORP,493267108,1644569,33943904,SOLE,
KNIGHT-SWIFT TRANSN HLDGS IN,499049104,1265317,66150773,SOLE,
KONINKLIJKE PHILIPS N V,500472303,36969,1001126,SOLE,
KOPPERS HOLDINGS INC,50060P106,1204252,32611144,SOLE,
KORN FERRY,500643200,791865,52278927,SOLE,
LEAR CORP,521865204,134405,15402813,DFND,
LEAR CORP,521865204,7332949,840355955,SOLE,
LEIDOS HOLDINGS INC,525327102,244271,44066488,SOLE,
LKQ CORP,501889208,4382173,132341625,SOLE,
MAGNA INTL INC,559222401,338513,24768996,DFND,
MAGNA INTL INC,559222401,28775069,2105471778,SOLE,
MALIBU BOATS INC,56117J100,1721957,48576407,SOLE,
MANPOWERGROUP INC WIS,56418H100,351121,10438827,SOLE,
MARCUS & MILLICHAP INC,566324109,614322,16764847,SOLE,
MASTERBRAND INC,57638P104,3785921,41796568,SOLE,
MEDTRONIC PLC,G5960L103,107431,10319822,DFND,
MEDTRONIC PLC,G5960L103,3111421,298883141,SOLE,
MERCK & CO INC,58933Y105,3324,349884,SOLE,
METLIFE INC,59156R108,193512,15275837,DFND,
METLIFE INC,59156R108,11689826,922794864,SOLE,
MOHAWK INDS INC,608190104,1186400,129673520,SOLE,
MORGAN STANLEY,617446448,472239,83836590,SOLE,
MSC INDL DIRECT INC,553530106,444666,37396411,SOLE,
MYERS INDS INC,628464109,1302309,24379224,SOLE,
NEWELL BRANDS INC,651229106,783352,2914069,DFND,
NEWELL BRANDS INC,651229106,49236201,183158668,SOLE,
NOKIA CORP,654902204,91942507,594868019,SOLE,
NOV INC,62955J103,441864,6906334,DFND,
NOV INC,62955J103,41722364,652120549,SOLE,
OLD NATL BANCORP IND,680033107,2518048,56177651,SOLE,
OLIN CORP,680665205,4507913,93899828,SOLE,
ORION S.A.,L72967109,4582596,24196107,SOLE,
OSHKOSH CORP,688239201,513621,64526206,SOLE,
PETROLEO BRASILEIRO SA PETRO,71654V101,124899,1407612,SOLE,
PFIZER INC,717081103,367153,9142110,DFND,
PFIZER INC,717081103,6159647,153375210,SOLE,
PPG INDS INC,693506107,128530,13169184,DFND,
PPG INDS INC,693506107,6970237,714170483,SOLE,
PVH CORPORATION,693656100,56548,3789847,DFND,
PVH CORPORATION,693656100,6138081,411374189,SOLE,
REGIONS FINANCIAL CORP NEW,7591EP100,1839825,49859258,SOLE,
