Company,CUSIP,Shares,Value,Discretion,PutCall
CARVANA CO,146869102,547514,111342447,SOLE,
CREDIT ACCEP CORP MICH,225310101,131588,61775302,SOLE,
DEERE & CO,244199105,5001,2118924,SOLE,
H WORLD GROUP LTD,44332N106,616337,20357611,SOLE,
INTERACTIVE BROKERS GROUP IN,45841N107,224347,40146896,SOLE,
META PLATFORMS INC,30303M102,149583,87582342,SOLE,
MICROSOFT CORP,594918104,11500,4847250,SOLE,
PAYCOM SOFTWARE INC,70432V102,12395,2540603,SOLE,
PDD HOLDINGS INC,722304102,345489,33508978,SOLE,
WIX COM LTD,M98068105,359780,77190799,SOLE,
YUM CHINA HLDGS INC,98850P109,522729,25179856,SOLE,
