Company,CUSIP,Shares,Value,Discretion
ADVANCE AUTO PARTS INC,00751Y106,70000,4272100,DFND
ALIBABA GROUP HLDG LTD,01609W102,75000,5813250,DFND
ALPHABET INC,02079K305,35000,4889150,DFND
AMAZON COM INC,023135106,30000,4558200,DFND
AMERICAN COASTAL INS CORP,910710102,210368,1990081,DFND
BIG LOTS INC,089302103,225000,1752750,DFND
BLOCK INC,852234103,50000,3867500,DFND
BOOKING HOLDINGS INC,09857L108,1250,4434025,DFND
BRUKER CORP,116794108,50000,3674000,DFND
CITIGROUP INC,172967424,100000,5144000,DFND
CVS HEALTH CORP,126650100,65000,5132400,DFND
GEN RESTAURENT GROUP,36870C104,154142,1206932,DFND
HCA HEALTHCARE INC,40412C101,20000,5413600,DFND
JD.COM INC,47215P106,200000,5778000,DFND
METTLER TOLEDO INTERNATIONAL,592688105,2000,2425920,DFND
MGM RESORTS INTERNATIONAL,552953101,100000,4468000,DFND
NEXSTAR MEDIA GROUP INC,65336K103,32500,5094375,DFND
ORACLE CORP,68389X105,50000,5271500,DFND
QURATE RETAIL INC,74915M100,600000,525300,DFND
SAFE BULKERS INC,Y7388L103,250000,982500,DFND
STAR BULK CARRIERS CORP.,Y8162K204,220208,4681622,DFND
THE REALREAL INC,88339P101,654806,1316160,DFND
TOAST INC,888787108,200000,3652000,DFND
VITAL ENERGY INC,516806205,87500,3980375,DFND
WARNER BROS DISCOVERY INC,934423104,375000,4267500,DFND
