Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HLDG LTD,01609W102,155000,11160000,DFND,
AMERICAN COASTAL INS CORP,910710102,251892,2657461,DFND,
BAIDU INC,056752108,75000,6486000,DFND,
BIOATLA INC,09077B104,633959,868524,DFND,
HUDSON PAC PPTYS INC,444097109,1144435,5504732,DFND,
JD.COM INC,47215P106,250000,6460000,DFND,
MOLINA HEALTHCARE INC,60855R100,24530,7292769,DFND,
OLAPLEX HLDGS INC,679369108,995250,1532685,DFND,
SHIFT4 PMTS INC,82452J109,100000,7335000,DFND,
THE REALREAL INC,88339P101,1000000,3190000,DFND,
