Company,CUSIP,Shares,Value,Discretion
ALASKA AIR GROUP INC,011659109,347864,15726931,SOLE
AMAZON COM INC,023135106,1272,237012,SOLE
AMERICAN EXPRESS CO,025816109,4454,1207925,SOLE
APPLE INC,037833100,4140,964620,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,237820,109459033,SOLE
BERKSHIRE HATHAWAY INC DEL,084670108,127,87779860,SOLE
CHEVRON CORP NEW,166764100,6163,907625,SOLE
COCA COLA CO,191216100,22000,1580920,SOLE
COSTCO WHSL CORP NEW,22160K105,4330,3838632,SOLE
CUMMINS INC,231021106,40844,13224879,SOLE
DISNEY WALT CO,254687106,139424,13411225,SOLE
DOLLAR GEN CORP NEW,256677105,861192,72830975,SOLE
DOLLAR TREE INC,256746108,483438,33995360,SOLE
EQUINOR ASA,29446M102,479192,12137933,SOLE
EXXON MOBIL CORP,30231G102,56431,6614842,SOLE
FIVE BELOW INC,33829M101,74143,6550534,SOLE
GE AEROSPACE,369604301,9842,1856004,SOLE
GE HEALTHCARE TECHNOLOGIES I,36266G107,4581,429927,SOLE
GE VERNOVA INC,36828A101,4138,1055107,SOLE
HF SINCLAIR CORP,403949100,530949,23664397,SOLE
KINROSS GOLD CORP,496902404,4618634,43230414,SOLE
MERCK & CO INC,58933Y105,44443,5046947,SOLE
MERCURY GENL CORP NEW,589400100,59525,3748878,SOLE
NEWMONT CORP,651639106,651314,34812747,SOLE
NIKE INC,654106103,34874,3082873,SOLE
NXP SEMICONDUCTORS N V,N6596X109,13876,3330379,SOLE
OLIN CORP,680665205,527442,25306650,SOLE
OVINTIV INC,69047Q102,16487,631617,SOLE
PARAMOUNT GLOBAL,92556H206,1691177,17960295,SOLE
SEACOR MARINE HLDGS INC,78413P101,211480,2040782,SOLE
SHELL PLC,780259305,4968,327640,SOLE
SPROTT PHYSICAL GOLD TR,85207H104,23869,486450,SOLE
STARBUCKS CORP,855244109,233517,22765544,SOLE
SYNCHRONY FINANCIAL,87165B103,4437,221318,SOLE
TRAVELERS COMPANIES INC,89417E109,20155,4718689,SOLE
VALERO ENERGY CORP,91913Y100,117046,15804719,SOLE
WORLD GOLD TR,98149E303,12460,649540,SOLE
