Company,CUSIP,Shares,Value,Discretion,PutCall
ALASKA AIR GROUP INC,011659109,344834,16972729,SOLE,
AMERICAN EXPRESS CO,025816109,4432,1192430,SOLE,
APPLE INC,037833100,4140,919618,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,239349,127472490,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,116,92619226,SOLE,
CHEVRON CORP NEW,166764100,6163,1031008,SOLE,
COCA COLA CO,191216100,22000,1575640,SOLE,
COSTCO WHSL CORP NEW,22160K105,4245,4014836,SOLE,
CUMMINS INC,231021106,40039,12549824,SOLE,
DISNEY WALT CO,254687106,139801,13798360,SOLE,
DOLLAR GEN CORP NEW,256677105,907179,79768209,SOLE,
DOLLAR TREE INC,256746108,493386,37038487,SOLE,
EQUINOR ASA,29446M102,490166,12964891,SOLE,
EXXON MOBIL CORP,30231G102,56272,6692429,SOLE,
FIVE BELOW INC,33829M101,78664,5893901,SOLE,
GE AEROSPACE,369604301,9842,1969876,SOLE,
GE HEALTHCARE TECHNOLOGIES I,36266G107,4581,369733,SOLE,
GE VERNOVA INC,36828A101,3738,1141137,SOLE,
HF SINCLAIR CORP,403949100,299281,9840351,SOLE,
ISHARES TR,46436E718,10600,1067102,SOLE,
KINROSS GOLD CORP,496902404,4506646,56828806,SOLE,
MERCK & CO INC,58933Y105,44443,3989204,SOLE,
NEWMONT CORP,651639106,662556,31988209,SOLE,
NIKE INC,654106103,36550,2320208,SOLE,
NXP SEMICONDUCTORS N V,N6596X109,13558,2576833,SOLE,
OLIN CORP,680665205,702466,17027772,SOLE,
OVINTIV INC,69047Q102,16487,705644,SOLE,
PARAMOUNT GLOBAL,92556H206,1632655,19526554,SOLE,
SEACOR MARINE HLDGS INC,78413P101,211480,1070089,SOLE,
SHELL PLC,780259305,4968,364055,SOLE,
SPROTT PHYSICAL GOLD TR,85207H104,23869,574288,SOLE,
STARBUCKS CORP,855244109,231702,22727679,SOLE,
SYNCHRONY FINANCIAL,87165B103,4437,234895,SOLE,
TRAVELERS COMPANIES INC,89417E109,20155,5330191,SOLE,
VALERO ENERGY CORP,91913Y100,190494,25158553,SOLE,
WORLD GOLD TR,98149E303,16219,1003794,SOLE,
