Company,CUSIP,Shares,Value,Discretion
58.com Inc ADR,31680q104,3010896,138170,SOLE
Affiliated Managers Group Inc,008252108,16646,2343,SOLE
Align Technology Inc.,016255101,48123,3876,SOLE
Allergan PLC,g0177j108,3435,794,SOLE
Alphabet Inc Cl A,02079K305,366625,257932,SOLE
Alphabet Inc. Cl C,02079K107,441683,305689,SOLE
Altria Group Inc,02209S103,4188,289,SOLE
American Electric Power,025537101,15485,1085,SOLE
American Express,025816109,1072828,65185,SOLE
Apple Computer,037833100,5110,489,SOLE
Arch Capital Group Ltd,g0450a105,9488,683,SOLE
AT&T Inc,00206r102,84347,3645,SOLE
Athenahealth Inc.,04685w103,300095,41416,SOLE
Autohome Inc ADR,05278c107,50167,1009,SOLE
Automatic Data Processing,053015103,4323,397,SOLE
Baidu Com Inc Sponsored ADR,056752108,2605388,430280,SOLE
Bed Bath & Beyond Inc,075896100,6000,259,SOLE
Berkshire Hathaway - Cl A,084670108,6910,1499297,SOLE
Berkshire Hathaway - Cl B,084670702,4571466,661903,SOLE
Brown & Brown Inc.,115236101,11722,439,SOLE
Builders Firstsource Inc.,12008R107,4007377,45083,SOLE
Cabelas Inc. Cl A,126804301,75421,3776,SOLE
Cable One Inc.,12685J105,3228,1651,SOLE
Canadian Natural Resources,136385101,6531,201,SOLE
"Carmax, Inc.",143130102,6215800,304761,SOLE
Caterpillar,149123101,65432,4960,SOLE
Charter Communications Inc Del,16119p108,16225,3710,SOLE
ChevronTexaco Corp,166764100,3741,392,SOLE
Chipotle Mexican Grill Inc,169656105,584367,235360,SOLE
Coca Cola Co.,191216100,74452,3375,SOLE
Colgate Palmolive Co.,194162103,3715,272,SOLE
Comcast Corp. Cl A,20030n101,7445,485,SOLE
Costco Wholesale Corp,22160k105,628312,98670,SOLE
Cresud SACIFYA Spon ADR Repstg,226406106,612147,8650,SOLE
CVS Corp.,126650100,14856,1422,SOLE
Danaher Corp.,235851102,1545881,156134,SOLE
Dentsply Sirona Inc.,24906P109,4705249,291914,SOLE
Disney Walt,254687106,9324,912,SOLE
Du Pont E I De Nemours & Co.,263534109,3208,208,SOLE
Edison International,281020107,42900,3332,SOLE
Emcor Group Inc,29084q100,1445293,71195,SOLE
Expeditors Int'l of Wash. Inc.,302130109,14363,704,SOLE
Exxon Mobil Corp,30231g103,55242,5178,SOLE
Fastenal Co,311900104,12100933,537160,SOLE
Federal Home Loan Mortgage Cor,313400301,1500000,2775,SOLE
Federal National Mortgage Assn,313586109,1651820,3304,SOLE
General Electric,369604103,129498,4077,SOLE
Goldman Sachs Group Inc,38141g104,565140,83969,SOLE
Graham Holdings Co.,384637104,3228,1580,SOLE
HDFC Bank Ltd ADR Repstg 3 Shs,40415f101,15592,1035,SOLE
Home Depot,437076102,23244,2968,SOLE
IAC Interactivecorp,44919P508,1205190,67852,SOLE
IBM,459200101,14707,2232,SOLE
Idexx Laboratories Corp.,45168D104,107894,10019,SOLE
Ingredion Inc.,457187102,1800,233,SOLE
Interactive Brokers Group Inc,45841n107,1001923,35468,SOLE
Jacobs Engineering Group Inc,469814107,5174881,257761,SOLE
JD.com,47215P106,7815227,165917,SOLE
Johnson & Johnson,478160104,12933,1569,SOLE
JP Morgan Chase & Co.,46625h100,1010846,62814,SOLE
Lennox International Inc.,526107107,10878,1551,SOLE
Liberty Global PLC Shrs CL A,g5480u104,162598,4725,SOLE
LKQ Corp.,501889208,162000,5135,SOLE
Lockheed Martin Corp.,539830109,1885,468,SOLE
Makemytrip Ltd,v5633w109,2813802,41813,SOLE
Mastercard Inc,57636q104,4979934,438533,SOLE
Match Group Inc.,57665r106,701000,10568,SOLE
McDonalds,580135101,14452,1739,SOLE
Medtronic PLC,G5960L103,3395,295,SOLE
Merck & Co.,58933y105,3981,229,SOLE
Microsoft,594918104,34279,1754,SOLE
Mohawk Industries,608190104,2451706,465236,SOLE
Monsanto Co,61166w101,5286,547,SOLE
Novo Nordisk A/S ADR,670100205,94165,5064,SOLE
O Reilly Automotive Inc,67103h107,1895730,513932,SOLE
Och Ziff Capital Management Gr,67551U105,781620,2970,SOLE
Omnicom Group,681919106,2378012,193784,SOLE
PepsiCo,713448108,42462,4498,SOLE
Perrigo Co PLC,G97822103,1315805,119304,SOLE
Pfizer,717081103,5930,209,SOLE
Philip Morris Intl Inc.,718172109,6385,649,SOLE
Pioneer Natural Resources Co.,723787107,1708,258,SOLE
Praxair,74005P104,1605924,180490,SOLE
Primerica Inc,74164M108,3780842,216415,SOLE
Procter & Gamble,742718109,94842,8030,SOLE
Progressive Corp.  Ohio,743315103,38902,1303,SOLE
Public Storage Inc.,74460d109,2492,637,SOLE
Range Resources Corp,75281a109,6387,276,SOLE
Roper Industries Inc New,776696106,1305,223,SOLE
Royal Dutch Shell PLC Spon ADR,780259206,3649,201,SOLE
Ryanair Holdings PLC ADR,783513104,5421,377,SOLE
Schlumberger Ltd,806857108,33861,2678,SOLE
Schwab Charles Corp,808513105,9155367,231722,SOLE
Sherwin Williams Co.,824348106,1717,504,SOLE
Signet Jewelers Limited,G81276100,3046,251,SOLE
Soufun Holdings LTD ADR,836034108,1008260,5072,SOLE
Third Point Reinsurance LTD,g8827u100,3029190,35502,SOLE
Tiffany & Co,886547108,1989625,120651,SOLE
Time Warner Inc,887317303,126308,9289,SOLE
TJX Cos - New,872540109,12183709,940948,SOLE
Trimble Navigation Ltd.,896239100,2780872,67742,SOLE
U.S. Bancorp New - Del.,902973304,19089,770,SOLE
Union Pacific,907818108,62026,5412,SOLE
Valeant Pharmaceuticals Intern,91911k102,446442,8991,SOLE
Verisk Analytics Class A,92345Y106,55281,4482,SOLE
Vipshop Hldgs Ltd ADR,92763w103,1025460,11454,SOLE
Visa Inc Class A,92826C839,2537564,188211,SOLE
