Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K107,1580745,240684232,SOLE,
ALPHABET INC,02079K305,2904857,438430067,SOLE,
AMERICAN EXPRESS CO,025816109,932,212207,SOLE,
ATAI LIFE SCIENCES NV,N0731H103,42112,82961,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,450522,189453511,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670108,149,94531560,SOLE,
BUILDERS FIRSTSOURCE INC,12008R107,4700,980185,SOLE,
CAPITAL ONE FINL CORP,14040H105,2952729,439631821,SOLE,
CARMAX INC,143130102,3968078,345659275,SOLE,
CREDIT ACCEP CORP MICH,225310101,718040,396034962,SOLE,
ELEVANCE HEALTH INC,036752103,1074685,557267160,SOLE,
EQUITABLE HLDGS INC,29452E101,40889,1554191,SOLE,
GROUP 1 AUTOMOTIVE INC,398905109,2784,813568,SOLE,
INTERCONTINENTAL EXCHANGE IN,45866F104,5354303,735841861,SOLE,
ISHARES TR,464288703,6380,390456,SOLE,
JACOBS SOLUTIONS INC,46982L108,2687568,413159829,SOLE,
LIBERTY BROADBAND CORP,530307107,766130,43761346,SOLE,
LIBERTY BROADBAND CORP,530307305,2960299,169417912,SOLE,
LIBERTY MEDIA CORP DEL,531229755,6438428,422360877,SOLE,
LIBERTY MEDIA CORP DEL,531229771,856558,50314217,SOLE,
LITHIA MTRS INC,536797103,2331,701305,SOLE,
META PLATFORMS INC,30303M102,600710,291692762,SOLE,
MICRON TECHNOLOGY INC,595112103,3162,372768,SOLE,
MICROSOFT CORP,594918104,649,273047,SOLE,
MOHAWK INDS INC,608190104,10790,1412303,SOLE,
NETFLIX INC,64110L106,615,373508,SOLE,
RIMINI STR INC DEL,76674Q107,18371,59889,SOLE,
S&P GLOBAL INC,78409V104,531,225914,SOLE,
SCHWAB CHARLES CORP,808513105,8132643,588315395,SOLE,
SENDAS DISTRIBUIDORA S A,81689T104,138282,2043808,SOLE,
SINCLAIR INC,829242106,17959,241908,SOLE,
STELLANTIS N.V,N82405106,48160,1362928,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,3716650,505650233,SOLE,
UNITEDHEALTH GROUP INC,91324P102,1027863,508483826,SOLE,
