Company,CUSIP,Shares,Value,Discretion
BLEND LABS INC,09352U108,6716144,15850100,SOLE
COUPANG INC,22266T109,3210459,67259116,SOLE
HILTON WORLDWIDE HLDGS INC,43300A203,458421,100027462,SOLE
IAC INC,44891N208,2345335,109878945,SOLE
INTUIT,461202103,125177,82267576,SOLE
MONDAY COM LTD,M7S64H106,414618,99823430,SOLE
NCINO INC,63947X101,1229338,38662680,SOLE
PROCORE TECHNOLOGIES INC,74275K108,242407,16074008,SOLE
SEA LTD,81141R100,848797,60621082,SOLE
SHIFT4 PMTS INC,82452J109,1402433,102868461,SOLE
