Company,CUSIP,Shares,Value,Discretion,PutCall
BLEND LABS INC,09352U108,9840605,35918208,SOLE,
BRAZE INC,10576N102,1848244,52564059,SOLE,
COSTAR GROUP INC,22160N109,896034,75598389,SOLE,
INTUIT,461202103,114369,78103734,SOLE,
LIBERTY MEDIA CORP DEL,531229755,217523,22720277,SOLE,
MONDAY COM LTD,M7S64H106,374221,72482865,SOLE,
NCINO INC,63947X101,1553659,42119695,SOLE,
OKTA INC,679295105,990486,90827566,SOLE,
PROCORE TECHNOLOGIES INC,74275K108,1077913,78601416,SOLE,
SHIFT4 PMTS INC,82452J109,1251374,96856348,SOLE,
VERTEX INC,92538J106,1081446,26809046,SOLE,
