Company,CUSIP,Shares,Value,Discretion,PutCall
Applied Digital Corp,038169207,4035600,22680072,SOLE,
Broadcom Inc,11135F101,700000,117201000,SOLE,
Constellation Energy Corp,21037T109,183400,36978942,SOLE,
Core Scientific Inc New,21874A106,4521578,32736225,SOLE,
CoreWeave Inc,21873S108,1225000,45423000,SOLE,
EQT Corp,26884L109,989398,52863535,SOLE,
IREN Limited,Q4982L109,3366130,20499732,SOLE,
Intel Corp,458140100,20237400,459591354,SOLE,Call
Modine Mfg Co,607828100,716824,55016242,SOLE,
Onto Innovation Inc,683344105,586717,71192241,SOLE,
Talen Energy Corp,87422Q109,148395,29630030,SOLE,
Vistra Corp,92840M102,525846,61755354,SOLE,
