Company,CUSIP,Shares,Value,Discretion
"Elevance Health, Inc.",036752103,122069,66144309,SOLE
"Avantor, Inc.",05352A100,3604345,76412114,SOLE
Baker Hughes Company,05722G100,2413144,84870275,SOLE
Barrick Gold Corporation,067901108,4455551,74318591,SOLE
"Bath & Body Works, Inc.",070830104,2088703,81563852,SOLE
"Berkshire Hathaway, Inc. Cl B",084670702,204387,83144632,SOLE
CVS Health Corporation,126650100,1165831,68853979,SOLE
"CF Industries Holding, Inc.",125269100,888166,65830864,SOLE
Capital One Financial Corp,14040H105,751016,103978166,SOLE
"Cardinal Health, Inc.",14149Y108,669762,65851000,SOLE
Centene Corporation,15135B101,853981,56618941,SOLE
Chevron Corporation,166764100,85155,13319945,SOLE
The Walt Disney Company,254687106,623252,61882692,SOLE
FedEx Corporation,31428X106,262858,78815343,SOLE
Fidelity National Information Services,31620M106,1455273,109669374,SOLE
GE HealthCare Technologies,36266G107,966657,75321914,SOLE
General Motors Company,37045V100,1962191,91163394,SOLE
"Hologic, Inc.",436440101,1166115,86584039,SOLE
"Huntington Ingalls Industries, Inc.",446413106,345489,85104305,SOLE
"Kinder Morgan, Inc.",49456B101,4766312,94706620,SOLE
The Kraft Heinz Company,500754106,2403022,77425369,SOLE
The Kroger Co.,501044101,1516317,75709708,SOLE
Lennar Corporation,526057104,398662,59747474,SOLE
Merck & Co. Inc.,58933Y105,530895,65724801,SOLE
Newmont Corporation,651639106,167030,6993546,SOLE
Oracle Corporation,68389X105,674325,95214690,SOLE
Organon & Company,68622V106,4870683,100823139,SOLE
PVH Corp.,693656100,911857,96538301,SOLE
Pfizer Inc.,717081103,2836057,79352875,SOLE
Public Service Enterprise Group,744573106,967413,71298339,SOLE
Teva Pharmaceutical  Industries Ltd ADR,881624209,6761446,109873498,SOLE
TotalEnergies SE ADR,89151E109,1006342,67102885,SOLE
Vistra Corp.,92840M102,803814,69111928,SOLE
Wells Fargo & Company,949746101,1573565,93454026,SOLE
Willis Towers Watson PLC,G96629103,354537,92938329,SOLE
Perrigo Company PLC,G97822103,2391049,61402139,SOLE
Checkpoint Software Technologies,M22465104,460592,75997680,SOLE
NXP Semiconductors NV,N6596X109,312431,84072058,SOLE
Flex Ltd.,Y2573F102,3144867,92742128,SOLE
