Company,CUSIP,Shares,Value,Discretion,PutCall
Alphabet Inc. - Class A,02079K305,232766,83183585,SOLE,
"Amazon.com, Inc.",023135106,350136,83451414,SOLE,
American Airlines Group Inc.,02376R102,5952846,107567927,SOLE,
Bank of America Corporation,060505104,2038298,116142220,SOLE,
Berkshire Hathaway Inc. - Class B,084670702,203903,102031022,SOLE,
BP PLC Sponsored ADR,055622104,2241317,82816663,SOLE,
Chevron Corporation,166764100,13475,2233616,SOLE,
Citigroup Inc.,172967424,615635,86164275,SOLE,
CSX Corporation,126408103,1472441,69985121,SOLE,
"Elevance Health, Inc.",036752103,243452,94150192,SOLE,
EQT Corporation,26884L109,1565288,83226363,SOLE,
GE HealthCare Technologies Inc.,36266G107,1119193,71639544,SOLE,
General Motors Company,37045V100,1024187,78944334,SOLE,
Genuine Parts Company,372460105,579343,68350887,SOLE,
Incyte Corporation,45337C102,757723,85895479,SOLE,
"Kyndryl Holdings, Inc.",50155Q100,2504350,28324199,SOLE,
"Medtronic, PLC",G5960L103,838573,65601566,SOLE,
"Mohawk Industries, Inc.",608190104,634336,76963987,SOLE,
National Fuel Gas Company,636180101,902778,69703489,SOLE,
NXP Semiconductors NV,N6596X109,286699,80571020,SOLE,
Omnicom Group Inc.,681919106,1129610,82269496,SOLE,
Oracle Corporation,68389X105,454708,66637457,SOLE,
Owens Corning,690742101,584629,92932626,SOLE,
Packaging Corporation of America,695156109,61025,14541037,SOLE,
Pfizer Inc,717081103,3820117,91988417,SOLE,
Public Service Enterprise Group Incorporated,744573106,969513,78685675,SOLE,
QUALCOMM Incorporated,747525103,547812,101230179,SOLE,
"QXO, Inc.",82846H405,5198401,89828369,SOLE,
"Regeneron Pharmaceuticals, Inc.",75886F107,126994,79185839,SOLE,
Smurfit WestRock Public Limited Company,G8267P108,1835817,84924894,SOLE,
Southwest Airlines Co.,844741108,2441564,125545221,SOLE,
TE Connectivity PLC,G87052109,447360,90192250,SOLE,
Teva Pharmaceutical Industries Ltd. - ADR,881624209,3804497,128896358,SOLE,
The Boeing Company,097023105,407058,88115845,SOLE,
The Walt Disney Company,254687106,967830,93153638,SOLE,
"Thermo Fisher Scientific, Inc.",883556102,165318,82883832,SOLE,
"United Parcel Service, Inc. Cl B",911312106,801772,86190490,SOLE,
Vistra Corp.,92840M102,577385,91590583,SOLE,
Wells Fargo & Company,949746101,890946,73627777,SOLE,
Zimmer Biomet Holdings Inc.,98956P102,794602,68407286,SOLE,
