Company,CUSIP,Shares,Value,Discretion
FERROVIAL SE,N3168P101,19470666,1038720350,SOLE
ALPHABET INC,02079K107,12966235,2300080427,SOLE
ALPHABET INC,02079K305,3155110,556025035,SOLE
CANADIAN NATL RY CO,136375102,22989066,2394409913,SOLE
CANADIAN PACIFIC KANSAS CITY,13646K108,52826885,4188853262,SOLE
GE AEROSPACE,369604301,47510431,12228709835,SOLE
MICROSOFT CORP,594918104,17565231,8737121552,SOLE
MOODYS CORP,615369105,13246979,6644552197,SOLE
S&P GLOBAL INC,78409V104,11091623,5848501892,SOLE
VISA INC,92826C839,19067558,6769936468,SOLE
