Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,2457000,878058090,SOLE,
ALPHABET INC,02079K107,9938819,3511682917,SOLE,
CANADIAN NATL RY CO,136375102,9433422,1124534915,SOLE,
CANADIAN PACIFIC KANSAS CITY,13646K108,45325726,3925911608,SOLE,
FERROVIAL NV,N3168P101,20940441,1434611939,SOLE,
GE AEROSPACE,369604301,47428233,17725353519,SOLE,
MARTIN MARIETTA MATLS INC,573284106,1315109,758423360,SOLE,
MOODYS CORP,615369105,14334027,6492167509,SOLE,
S&P GLOBAL INC,78409V104,14081957,5735017808,SOLE,
VISA INC,92826C839,30494133,10462232091,SOLE,
VULCAN MATLS CO,929160109,2447004,721890650,SOLE,
