Company,CUSIP,Shares,Value,Discretion
ADVANCE AUTO PARTS INC.,00751Y106,15179,596535,SOLE
AGCO CORP.,001084102,10901,1137192,SOLE
ALBEMARLE CORP,012653101,4517,638884,SOLE
ALIBABA GROUP HOLDING SP-ADR,01609W102,4060,595115,SOLE
ALLIANCE RESOURCE PARTNERS LP,01877R108,46695,1084725,SOLE
ALLISON TRANSMISSION HLD,01973R101,10077,986538,SOLE
ALPHABET INC-CL A,02079K305,199561,62462593,SOLE
AMERICAN EXPRESS CO,025816109,64592,23895810,SOLE
AMN HEALTHCARE SERVICES INC,001744101,18072,284815,SOLE
ARROW ELECTRIC,042735100,7530,829655,SOLE
ATMUS FILTRATION TECHNOLOGIES,04956D107,40550,2104950,SOLE
AUTOLIV INC.,052800109,400924,47589679,SOLE
"AUTONATION, INC.",05329W102,6044,1247965,SOLE
"AUTOZONE, INC.",053332102,5594,18972051,SOLE
BANK OF AMERICA CORP COM,060505104,374462,20595410,SOLE
BANK OF NEW YORK MELLON CORP,064058100,127393,14789053,SOLE
BAXTER INTERNATIONAL INC,071813109,9739,221757,SOLE
BEAZER HOMES USA,07556Q881,31872,646045,SOLE
BERKSHIRE HATHAWAY INC,084670108,144,108691200,SOLE
BERKSHIRE HATHAWAY INC DEL CL B,084670702,97081,48797765,SOLE
BLACKSTONE MINE,09225M101,49829,662227,SOLE
BLUE OWL CAPITAL CORP,69121K104,70781,879808,SOLE
"BREAD FINANCIAL HOLDINGS, INC.",018581108,19659,1455356,SOLE
BRISTOL-MYERS SQUIBB CO,110122108,16842,908457,SOLE
CENTENE CORP,15135B101,12048,495775,SOLE
CENOVUS ENERGY,B57FG04CA,56920,964204,SOLE
CISCO SYSTEMS INC,17275r102,56068,4318918,SOLE
CLEVELAND-CLIFFS INC,185899101,60627,805127,SOLE
CNH INDUSTRIAL NV,N20944109,20180953,186068387,SOLE
COCA COLA FEMSA,191241108,1188746,112586134,SOLE
COMCAST CORPORATION - CLASS A,20030N101,31496,941415,SOLE
CONCENTRIX CORP,20602D101,13973,580997,SOLE
CONOCOPHILLIPS,20825C104,26016,2435358,SOLE
CONSENSUS CLOUD,20848V105,15574,339825,SOLE
CROCS INC,227046109,9039,773015,SOLE
CVS CORP.,126650100,12085,959066,SOLE
DEVON ENERGY CORP,25179M103,16565,606776,SOLE
DIAGEO P L C  - ADR,25243q205,129808,11198536,SOLE
DORIAN LPG LIMITED,Y2106R110,22589,549816,SOLE
ELEVANCE HEALTH,036752103,3128,1096520,SOLE
EMBECTA CORP,29082K105,48191,572509,SOLE
