Company,CUSIP,Shares,Value,Discretion,PutCall
Alamo Group Inc,011311107,42265,6952170,SOLE,
American Homes 4 Rent,02665T306,262058,8784184,SOLE,
Atlanta Braves Holdings Inc,047726104,111880,6299963,SOLE,
Atlanta Braves Holdings Inc,047726302,26027,1350801,SOLE,
BlueLinx Holdings Inc,09624H208,64369,3983154,SOLE,
Boise Cascade Co,09739D100,602086,46739936,SOLE,
Brookdale Senior Living Inc,112463104,494826,7961750,SOLE,
Brookfield Corp,11271J107,394929,16820026,SOLE,
Catalyst Pharmaceuticals Inc,14888U101,210161,6605360,SOLE,
CBRE Group Inc,12504L109,135896,18303832,SOLE,
Central Securities Corp,155123102,101812,5340039,SOLE,
Champion Homes Inc,830830105,100576,8862757,SOLE,
Collegium Pharmaceutical Inc,19459J104,182645,6611749,SOLE,
Compass Inc,20464U100,187469,2311493,SOLE,
CRA International Inc,12618T105,20819,2962544,SOLE,
DR Horton Inc,23331A109,69205,11272110,SOLE,
Encore Capital Group Inc,292554102,129717,12101299,SOLE,
Fidelity National Financial In,31620R303,193119,9107492,SOLE,
First Industrial Realty Trust,32054K103,77498,4751402,SOLE,
FirstService Corp,33767E202,61951,8803857,SOLE,
Five Point Holdings LLC,33833Q106,3696155,19478737,SOLE,
Flagstar Bank NA,649445400,331241,4948741,SOLE,
FRP Holdings Inc,30292L107,107160,2677928,SOLE,
Harley-Davidson Inc,412822108,1480880,36222325,SOLE,
Hongkong Land Holdings Ltd,G4587L109,550300,3918136,SOLE,
ICF International Inc,44925C103,98893,7205344,SOLE,
Investors Title Co,461804106,21894,5991950,SOLE,
Jones Lang LaSalle Inc,48020Q107,32053,9934827,SOLE,
Kaiser Aluminum Corp,483007704,29848,5839164,SOLE,
Lennar Corp,526057302,149658,13276161,SOLE,
LSB Industries Inc,502160104,381096,4119648,SOLE,
Maximus Inc,577933104,74085,3982810,SOLE,
MYR Group Inc,55405W104,13066,6538226,SOLE,
OceanFirst Financial Corp,675234108,246662,4817309,SOLE,
Octave Specialty Group Inc,023139884,1341879,8373325,SOLE,
PBF Energy Inc,69318G106,131050,5965396,SOLE,
Prologis Inc,74340W103,104823,14200372,SOLE,
Prosperity Bancshares Inc,743606105,102168,7461329,SOLE,
PulteGroup Inc,745867101,95111,13050180,SOLE,
Qualys Inc,74758T303,39120,5378609,SOLE,
Robert Half Inc,770323103,1208336,37095915,SOLE,
Rogers Corp,775133101,61584,10083148,SOLE,
SandRidge Energy Inc,80007P869,352558,4830045,SOLE,
Southside Bancshares Inc,84470P109,116879,4112972,SOLE,
Sun Communities Inc,866674104,91454,10966249,SOLE,
Supernus Pharmaceuticals Inc,868459108,152724,7103193,SOLE,
Taylor Morrison Home Corp,87724P106,85941,6165407,SOLE,
Tidewater Inc,88642R109,934121,62240482,SOLE,
U-Haul Holding Co,023586506,283872,16379414,SOLE,
UMB Financial Corp,902788108,78245,11170256,SOLE,
UniFirst Corp/MA,904708104,20802,5501297,SOLE,
Valaris Ltd,G9460G101,516313,37484324,SOLE,
Warrior Met Coal Inc,93627C101,285398,23162902,SOLE,
WESCO International Inc,95082P105,16963,5859529,SOLE,
Weyerhaeuser Co,962166104,162097,3880602,SOLE,
