Company,CUSIP,Shares,Value,Discretion
AMAZON COM INC,023135106,3700000,689421000,SOLE
AMPHENOL CORP NEW,032095101,1600000,104256000,SOLE
ANSYS INC,03662Q105,255000,81250650,SOLE
APOLLO GLOBAL MGMT INC,03769M106,950000,118664500,SOLE
APOLLO GLOBAL MGMT INC,03769M304,900000,61191000,SOLE
APPLE INC,037833100,930000,216690000,SOLE
AURORA INNOVATION INC,051774115,1835000,1521215,SOLE
AURORA INNOVATION INC,051774107,1032463,6112181,SOLE
BATH & BODY WORKS INC,070830104,11785000,376177200,SOLE
BROOKFIELD CORP,11271J107,4725000,251133750,SOLE
CARPENTER TECHNOLOGY CORP,144285103,660000,105322800,SOLE
CINEMARK HLDGS INC,17243V102,7000000,194880000,SOLE
CLEAR CHANNEL OUTDOOR HLDGS,18453H106,850000,1360000,SOLE
CORPAY INC,219948106,765000,239261400,SOLE
CRH PLC,G25508105,2050000,190117000,SOLE
CVS HEALTH CORP,126650100,1575000,99036000,SOLE
DANAHER CORPORATION,235851102,1950000,542139000,SOLE
EQT CORP,26884L109,1950000,71448000,SOLE
FERGUSON ENTERPRISES INC,31488V107,965000,191620050,SOLE
FLUTTER ENTMT PLC,G3643J108,510000,121012800,SOLE
FLYEXCLUSIVE INC,343928115,367499,117600,SOLE
FLYEXCLUSIVE INC,343928107,1022000,3045560,SOLE
GLOBAL BLUE GROUP HOLDING AG,H33700115,1333333,111600,SOLE
GLOBAL BLUE GROUP HOLDING AG,H33700107,8387601,45880177,SOLE
HAWAIIAN ELEC INDUSTRIES,419870100,1535000,14858800,SOLE
HERTZ GLOBAL HLDGS INC,42806J148,3970000,8694300,SOLE
HESS CORP,42809H107,625000,84875000,SOLE
INTERCONTINENTAL EXCHANGE IN,45866F104,2085000,334934400,SOLE
JACOBS SOLUTIONS INC,46982L108,1650000,215985000,SOLE
JAWS MUSTANG ACQUISITION COR,G50737124,1000000,23100,SOLE
LIVE NATION ENTERTAINMENT IN,538034109,2340000,256206600,SOLE
LPL FINL HLDGS INC,50212V100,485000,112825550,SOLE
META PLATFORMS INC,30303M102,545000,311979800,SOLE
MICROSOFT CORP,594918104,870000,374361000,SOLE
NET POWER INC,64107A113,500000,580000,SOLE
PG&E CORP,69331C108,49750000,983557500,SOLE
ROPER TECHNOLOGIES INC,776696106,240000,133545600,SOLE
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1780000,309132600,SOLE
TELEPHONE & DATA SYS INC,879433829,2875000,66843750,SOLE
TESLA INC,88160R101,400000,104652000,SOLE
UNITED STATES CELLULAR CORP,911684108,545344,29803050,SOLE
VISTRA CORP,92840M102,3175000,376364500,SOLE
