Company,CUSIP,Shares,Value,Discretion,PutCall
AMAZON COM INC,023135106,2350000,447111000,SOLE,
APOLLO GLOBAL MGMT INC,03769M106,1500000,205410000,SOLE,
APOLLO GLOBAL MGMT INC,03769M304,900000,65781000,SOLE,
AT&T INC,00206R102,3775000,105637713,SOLE,
AURORA INNOVATION INC,051774115,1835000,2587167,SOLE,
AURORA INNOVATION INC,051774107,1032463,6943314,SOLE,
BROOKFIELD CORP,11271J107,4240000,222218400,SOLE,
CAPITAL ONE FINL CORP,14040H105,1050000,188265000,SOLE,
CARPENTER TECHNOLOGY CORP,144285103,870000,157626600,SOLE,
CASEYS GEN STORES INC,147528103,300000,130212000,SOLE,
CORPAY INC,219948106,610000,212719200,SOLE,
COSTAR GROUP INC,22160N109,1975000,156479250,SOLE,
CRH PLC,G25508105,2715000,238838550,SOLE,
DISCOVER FINL SVCS,254709108,740000,126318000,SOLE,
EQT CORP,26884L109,2950000,157618500,SOLE,
FLUTTER ENTMT PLC,G3643J108,970000,214903500,SOLE,
FLYEXCLUSIVE INC,343928115,367499,36750,SOLE,
FLYEXCLUSIVE INC,343928107,1022000,3178420,SOLE,
FORTIVE CORP,34959J108,1900000,139042000,SOLE,
GLOBAL BLUE GROUP HOLDING AG,H33700115,1333333,29600,SOLE,
HERTZ GLOBAL HLDGS INC,42806J148,3970000,8972200,SOLE,
HESS CORP,42809H107,625000,99831250,SOLE,
INTERCONTINENTAL EXCHANGE IN,45866F104,1100000,189750000,SOLE,
JACOBS SOLUTIONS INC,46982L108,1400000,169246000,SOLE,
KENVUE INC,49177J102,8900000,213422000,SOLE,
LIVE NATION ENTERTAINMENT IN,538034109,2100000,274218000,SOLE,
LPL FINL HLDGS INC,50212V100,625000,204462500,SOLE,
MICROSOFT CORP,594918104,315000,118247850,SOLE,
NET POWER INC,64107A113,500000,152500,SOLE,
NVIDIA CORPORATION,67066G104,1450000,157151000,SOLE,
PG&E CORP,69331C108,51100000,877898000,SOLE,
PG&E CORP,69331CAL2,10000000,10577312,SOLE,
PG&E CORP,69331C306,140000,6263600,SOLE,
PINTEREST INC,72352L106,1000000,31000000,SOLE,
PRIMO BRANDS CORPORATION,741623102,2775000,98484750,SOLE,
RB GLOBAL INC,74935Q107,950000,95285000,SOLE,
SEADRILL LTD,G7997W102,1025000,25625000,SOLE,
SHARKNINJA INC,G8068L108,550000,45875500,SOLE,
SOHO HOUSE & CO INC,586001109,5200000,32136000,SOLE,
SPDR S&P 500 ETF TR,78462F953,330000,184478085,SOLE,Put
TAIWAN SEMICONDUCTOR MFG LTD,874039100,1780000,295480000,SOLE,
TALEN ENERGY CORP,87422Q109,585000,116806950,SOLE,
TELEPHONE & DATA SYS INC,879433829,6760000,261882400,SOLE,
UNITED STATES STL CORP NEW,912909108,3625000,153192500,SOLE,
VISTRA CORP,92840M102,850000,99824000,SOLE,
