Company,CUSIP,Shares,Value,Discretion
3M Company,88579Y101,2000,304480,SOLE
Abbott Labs,002824100,1800,244818,SOLE
Abbvie,00287Y109,95042,17641696,SOLE
Adobe,00724F101,16670,6449290,SOLE
Alphabet Class A,02079K305,52690,9285559,SOLE
Alphabet Class C,02079K107,6149,1090771,SOLE
Altria Group,02209S103,67865,3978925,SOLE
Amazon.com,023135106,77963,17104303,SOLE
American Express,025816109,57650,18389197,SOLE
American Tower,03027X100,2905,642063,SOLE
Amgen,031162100,69858,19505052,SOLE
Amphenol,032095101,96345,9514069,SOLE
Ansys,03662Q105,7222,2536511,SOLE
Apple,037833100,55582,11403790,SOLE
Applied Materials,038222105,31620,5788673,SOLE
Arthur J. Gallagher,363576109,19062,6102127,SOLE
Axsome Therapeutics,05464T104,17065,1781415,SOLE
BWX Technologies,05605H100,15106,2176170,SOLE
Berkshire Hathaway B,084670702,37274,18106591,SOLE
Blackstone Group,09260D107,133647,19990918,SOLE
Bloom Energy,093712107,69320,1658134,SOLE
Blueprint Medicines,09627Y109,16615,2129711,SOLE
Broadcom Limited,11135F101,148683,40984469,SOLE
CCC Intel Solutions,12510Q100,141836,1334677,SOLE
CNA Financial,126117100,422918,19678375,SOLE
Casey's General Stores,147528103,18477,9428259,SOLE
Chevron,166764100,126445,18105660,SOLE
Constellation Energy Group,21037T109,20138,6499741,SOLE
Constellation Software,21037X100,2400,8808291,SOLE
Cooper Companies,216648501,15665,1114721,SOLE
Copart,217204106,142756,7005037,SOLE
Costco,22160K105,636,629602,SOLE
CyberArk Software,M2682V108,600,244128,SOLE
Danaher,235851102,1871,369597,SOLE
Digital Realty Trust,253868103,24082,4198215,SOLE
Dynatrace,268150109,47211,2606519,SOLE
EOG Resources,26875P101,144477,17280894,SOLE
Eaton,G29183103,40635,14506289,SOLE
Edwards Lifesciences,28176E108,2994,234161,SOLE
Eli Lilly,532457108,398,310253,SOLE
Enbridge,29250N105,13292,602393,SOLE
Entegris,29362U104,20992,1693005,SOLE
FTI Consulting,302941109,5944,959956,SOLE
Fiserv,337738108,46443,8007238,SOLE
General Dynamics Corp,369550108,37672,10987416,SOLE
Halozyme Therapeutics,40637H109,40048,2083297,SOLE
Home Depot,437076102,56203,20606268,SOLE
Honeywell,438516106,1245,289936,SOLE
JP Morgan,46625H100,53404,15482354,SOLE
Jack Henry & Associates,426281101,10399,1873588,SOLE
Johnson & Johnson,478160104,4221,644758,SOLE
KLA,482480100,7386,6615936,SOLE
Krystal Biotech,501147102,11574,1590962,SOLE
Lantheus Holdings,516544103,19061,1560333,SOLE
Lennar Corp Cl B,526057302,129742,13655346,SOLE
Lockheed Martin,539830109,6996,3240127,SOLE
Lonza Group ADR,54338V101,100532,7173964,SOLE
Marsh McLennan,571748102,70015,15308080,SOLE
Mettler Toledo,592688105,1352,1588221,SOLE
Microsoft,594918104,36681,18245496,SOLE
Monolithic Power Systems,609839105,3054,2233635,SOLE
Morgan Stanley,617446448,44071,6207841,SOLE
Motorola Solutions,620076307,566,237980,SOLE
NVIDIA,67066G104,2375,375226,SOLE
Natera,632307104,11377,1922030,SOLE
Northrop Grumman Corp,666807102,887,443482,SOLE
O'Reilly Automotive,67103H107,69806,6291615,SOLE
Pfizer,717081103,650890,15777562,SOLE
Phillips 66,718546104,202754,24188552,SOLE
Pool,73278L105,5012,1460898,SOLE
ProLogis,74340W103,139500,14664192,SOLE
Qualys,74758T303,11172,1596144,SOLE
RBC Bearings,75524B104,8420,3240016,SOLE
RTX,75513E101,1689,246628,SOLE
Rocket Lab USA,773122106,9000,321930,SOLE
Rolls-Royce,775781206,50000,669000,SOLE
Royalty Pharma Plc,G7709Q104,688776,24816599,SOLE
Ryan Specialty Holdings,78351F107,39117,2659565,SOLE
SBA Communications,78410G104,7235,1699067,SOLE
SPS Commerce,78463M107,10764,1464873,SOLE
Sapiens,G7T16G103,50609,1480313,SOLE
ServiceNow,81762P102,8567,8807561,SOLE
Sherwin-Williams,824348106,12221,4196203,SOLE
Synopsys,871607107,16833,8629942,SOLE
Taiwan Semiconductor,874039100,28812,6525630,SOLE
Texas Instruments,882508104,131793,27362863,SOLE
Tradeweb Markets,892672106,14956,2189558,SOLE
Tyler Technologies,902252105,10012,5935514,SOLE
Union Pacific,907818108,1190,273795,SOLE
United Rentals,911363109,660,497244,SOLE
UnitedHealth Group,91324P102,49337,15391664,SOLE
Vanguard Total Stock Fund,922908769,737,223951,SOLE
Veeva Systems,922475108,26889,7743494,SOLE
Verisk Analytics,92345Y106,18058,5625067,SOLE
Vertex Pharmaceuticals,92532F100,16879,7514531,SOLE
Visa,92826C839,20779,7377584,SOLE
W.R. Berkley,084423102,87810,6451401,SOLE
Wells Fargo,949746101,3000,240360,SOLE
iShares Russell 1000 Growth,464287614,1138,483172,SOLE
