Company,CUSIP,Shares,Value,Discretion,PutCall
3M Company,88579Y101,2000,323820,SOLE,
Abbvie,00287Y109,82602,20785967,SOLE,
Accenture,G1151C101,167690,20867344,SOLE,
Alphabet Cl A,02079K305,45093,16114885,SOLE,
Alphabet Cl C,02079K107,6019,2126693,SOLE,
Amazon.com,023135106,68062,16221897,SOLE,
American Express,025816109,1965,664661,SOLE,
Amgen,031162100,59771,21644275,SOLE,
Amphenol,032095101,59235,10444315,SOLE,
Apple,037833100,48366,13995230,SOLE,
Arthur J. Gallagher,363576109,26276,6032181,SOLE,
Axsome Therapeutics,05464T104,14928,3653927,SOLE,
Bank New York Mellon Corp,064058100,1584,229062,SOLE,
Berkshire Hathaway B,084670702,2884,1443125,SOLE,
BioMarin Pharmaceuticals,09061G101,77705,4446280,SOLE,
Blackstone,09260D107,188812,22217508,SOLE,
Bloom Energy,093712107,52565,15911425,SOLE,
Broadcom,11135F101,101468,38329537,SOLE,
BWX Technologies,05605H100,12633,2459013,SOLE,
Casey's General Stores,147528103,16784,13339755,SOLE,
Chevron Corp,166764100,135300,22427328,SOLE,
CNA Financial,126117100,522241,25386135,SOLE,
Comcast Class A,20030N101,863372,21195783,SOLE,
Constellation Energy,21037T109,107742,26759881,SOLE,
Cooper Companies,216648501,23286,1669839,SOLE,
Costco Wholesale,22160K105,628,587475,SOLE,
Danaher,235851102,1871,356388,SOLE,
Dynatrace,268150109,66492,2919664,SOLE,
Edwards Lifesciences Corp,28176E108,2994,270837,SOLE,
Eli Lilly & Co,532457108,398,477373,SOLE,
Enbridge,29250N105,8310,450485,SOLE,
Entegris,29362U104,18001,3237660,SOLE,
Evolv Technologies,30049H102,392714,2277741,SOLE,
Fabrinet,G3323L100,5994,3369108,SOLE,
FTI Consulting,302941109,13500,2011635,SOLE,
GE Aerospace,369604301,10999,4110656,SOLE,
Halozyme Therapeutics,40637H109,38703,3029284,SOLE,
Home Depot,437076102,2485,876410,SOLE,
iShares Russell 1000 Growth ET,464287614,1972,244863,SOLE,
Jack Henry & Associates,426281101,12856,1770785,SOLE,
Johnson & Johnson,478160104,4141,1051690,SOLE,
JPMorgan,46625H100,2959,968569,SOLE,
KLA,482480100,36890,11130082,SOLE,
Krystal Biotech,501147102,12156,4518021,SOLE,
Lonza Group ADR,54338V101,91339,6165382,SOLE,
Marsh,571748102,92694,15449309,SOLE,
Mettler Toledo,592688105,1671,2134719,SOLE,
Microsoft,594918104,36160,13488403,SOLE,
Monolithic Power Systems,609839105,3715,5135467,SOLE,
Morgan Stanley,617446448,2377,496888,SOLE,
Motorola Solutions Inc New,620076307,566,235054,SOLE,
Natera,632307104,9730,2641208,SOLE,
NextEra Energy,65339F101,237562,20850846,SOLE,
Northrop Grumman,666807102,887,451758,SOLE,
Novanta,67000B104,11141,1807516,SOLE,
Nvidia Corporation Com,67066G104,2938,587864,SOLE,
O'Reilly Automotive,67103H107,60821,5601006,SOLE,
ONEOK,682680103,238831,20763967,SOLE,
PepsiCo,713448108,146268,19804735,SOLE,
Pfizer,717081103,859418,20694785,SOLE,
Phillips 66,718546104,117795,19913245,SOLE,
Prologis,74340W103,134084,18164326,SOLE,
RBC Bearings,75524B104,9112,5868675,SOLE,
Rocket Lab,773122106,4500,457425,SOLE,
Rolls Royce Holdings,775781206,25000,481250,SOLE,
Royalty Pharma Plc,G7709Q104,602028,33755710,SOLE,
RTX,75513E101,1689,320454,SOLE,
Ryan Specialty Holdings,78351F107,77911,2941919,SOLE,
ServiceNow,81762P102,51543,5117189,SOLE,
Sherwin Williams,824348106,12175,4192096,SOLE,
SLB,806857108,5681,264110,SOLE,
Syndax Pharmaceuticals,87164F105,133835,2925633,SOLE,
Taiwan Semiconductor,874039100,26309,12564389,SOLE,
Tesla,88160R101,1250,525750,SOLE,
Texas Instruments,882508104,65895,19641323,SOLE,
Tradeweb Mkts,892672106,75987,7572864,SOLE,
Union Pacific,907818108,850,231200,SOLE,
United Rentals,911363109,660,747707,SOLE,
UnitedHealth Group,91324P102,683,283875,SOLE,
Vanguard Index Funds Growth Et,922908736,4616,397622,SOLE,
Vanguard Index Funds Total Sto,922908769,745,275733,SOLE,
Veeva Systems,922475108,24625,4370199,SOLE,
Verastem,92337C203,477455,1823878,SOLE,
Verisk Analytics,92345Y106,24309,4364195,SOLE,
Vertex Pharmaceuticals,92532F100,15215,7557747,SOLE,
Visa,92826C839,22017,7553813,SOLE,
Wells Fargo,949746101,3000,247920,SOLE,
Zoom Communications,98980L101,24796,2140143,SOLE,
Alphabet Convertible  Pfd,02079K404,469529,23894331,SOLE,
Hewlett Packard Ent Ser C Conv,42824C208,183153,21183476,SOLE,
KKR Series D Conv 6.25,48251W500,573623,22858877,SOLE,
