Company,CUSIP,Shares,Value,Discretion,PutCall
Ferguson Plc New,G3421J106,1086357,236554237,OTR,
GE Aerospace,369604301,4030213,1037336524,DFND,
GE HealthCare Technologies Inc.,36266G107,4029,298428,DFND,
Invesco Ltd.,G491BT108,14628455,230690735,DFND,
Janus Henderson Group plc,G4474Y214,31867800,1237745352,DFND,
U-Haul Holding Company,023586100,353335,21397968,DFND,
U-Haul Holding Company - B,023586506,338031,18378745,DFND,
Solventum Corporation,83444M101,8462819,641820193,DFND,
The Allstate Corporation,200021014,99955,20121941,DFND,
Wendys Co.,95058W100,14943466,170654382,DFND,
Wendys Co.,95058W100,15491328,176910966,OTR,
