Company,CUSIP,Shares,Value,Discretion
ALPHABET INC,02079K107,718260,131743,SOLE
AMAZON.COM INC,023135106,541901,104722,SOLE
CHARTER COMMUNICATIONS INC N,16119P108,627525,187605,SOLE
LAM RESEARCH CORP,512807108,52530,55937,SOLE
MICROSOFT CORP,594918104,228654,102197,SOLE
MOODYS CORP,615369105,150787,63471,SOLE
MSCI INC,55354G100,57920,27903,SOLE
TRANSDIGM GROUP INC,893641100,62239,79517,SOLE
UNION PAC CORP,907818108,74500,16856,SOLE
VISA INC,92826C839,219329,57567,SOLE
CANADIAN PACIFIC KANSAS CITY,13646K108,314734,24779,SOLE
