Company,CUSIP,Shares,Value,Discretion,PutCall
ASML HOLDING N V,N07059210,79300,55153,SOLE,
ALPHABET INC,02079K107,648905,58148,SOLE,
AMAZON.COM INC,023135106,487191,61724,SOLE,
CCC INTELLIGENT SOLUTION HOLDINGS INC,12510Q100,3156000,29932,SOLE,
CHARTER COMMUNICATIONS INC N,16119P108,160480,43992,SOLE,
META PLATFORMS INC,30303M102,110200,68644,SOLE,
LAM RESEARCH CORP,512807306,706615,53581,SOLE,
MICROSOFT CORP,594918104,403043,121032,SOLE,
MOODYS CORP,615369105,81627,27298,SOLE,
TRANSDIGM GROUP INC,893641100,73794,51271,SOLE,
