Company,CUSIP,Shares,Value,Discretion,PutCall
ALIBABA GROUP HOLDING SP-ADR,01609W102,12940,1373193,SOLE,
ALPHABET INC-CL A,02079K305,1701654,282219316,SOLE,
ALPHABET INC-CL C,02079K107,54575,9124394,SOLE,
AMERICAN EXPRESS CO,025816109,100037,27130034,SOLE,
ATMUS FILTRATION TECHNOLOGIES,04956D107,131732,4943902,SOLE,
AUTOLIV INC.,052800109,471284,44003787,SOLE,
"AUTOZONE, INC.",053332102,11024,34726041,SOLE,
BANK OF AMERICA CORP COM,060505104,506461,20096372,SOLE,
BANK OF NEW YORK MELLON CORP,064058100,263670,18947326,SOLE,
BAXTER INTERNATIONAL INC,071813109,9861,374422,SOLE,
BERKSHIRE HATHAWAY INC,084670108,564,389825520,SOLE,
BERKSHIRE HATHAWAY INC DEL CL B,084670702,140855,64829922,SOLE,
CISCO SYSTEMS INC,17275r102,210529,11204353,SOLE,
CNH INDUSTRIALS,N20944109,15334473,170212650,SOLE,
COCA COLA FEMSA,191241108,1385475,122919342,SOLE,
COMCAST CORPORATION - CLASS A,20030N101,35481,1482041,SOLE,
CONCENTRIX CORP,20602D101,164205,8415506,SOLE,
CONOCOPHILLIPS,20825C104,26718,2812871,SOLE,
DIAGEO P L C  - ADR,25243q205,139325,19552870,SOLE,
EMERSON ELECTRIC CO,291011104,11954,1307409,SOLE,
ENTERPRISE PRODUCTS PARTNERS,293792107,136295,3967547,SOLE,
ENVISTA HOLDINGS CORP,29415F104,1887420,37295419,SOLE,
FEDEX CORP.,31428X106,157226,43029612,SOLE,
FMC CORP.,302491303,3125442,206091645,SOLE,
GLOBE LIFE INC.,37959E102,35502,3760017,SOLE,
GSK PLC ADR,37733W204,108035,4416471,SOLE,
HALEON PLC ADR,405552100,93584,990119,SOLE,
IONIS PHARMACEUTICALS INC.,462222100,3454676,138394321,SOLE,
JOHNSON & JOHNSON,478160104,1126182,182509055,SOLE,
KENVUE INC.,49177J102,383206,8863555,SOLE,
NOVARTIS AG AMERICAN DEPOSITORY SHARES,66987v109,85347,9816612,SOLE,
PHILLIPS 66,718546104,30228,3973471,SOLE,
PROGRESSIVE CORP,743315103,20891,5301300,SOLE,
SEALED AIR CORPORATION,81211K100,766121,27810192,SOLE,
TOTALENERGIES SE ADR,89151E109,144828,9358785,SOLE,
TRUIST FINANCIAL CORP,89832Q109,760929,32544933,SOLE,
U-HAUL HOLDING CO - NON VOTING,023586506,598368,43082496,SOLE,
UNILEVER PLC SPONSORED ADR,904767704,70274,4564999,SOLE,
UNION PACIFIC CORP,907818108,42889,10571281,SOLE,
US BANCORP,902973304,247567,11321239,SOLE,
VERIZON COMMUNICATIONS,92343V104,27004,1212750,SOLE,
VERTEX PHARMACEUTICALS,92532F100,53600,24928288,SOLE,
WELLS FARGO & CO,949746101,854276,48258051,SOLE,
