Company,CUSIP,Shares,Value,Discretion
ALIBABA GROUP HOLDING SP-ADR,01609W102,4645,614208,SOLE
ALLIANCE RESOURCE PARTNERS LP,01877R108,8755,238836,SOLE
ALPHABET INC-CL A,02079K305,672947,104064524,SOLE
ALPHABET INC-CL C,02079K107,14278,2230652,SOLE
AMERICAN EXPRESS CO,025816109,71820,19323171,SOLE
ATMUS FILTRATION TECHNOLOGIES,04956D107,89586,3290494,SOLE
AUTOLIV INC.,052800109,433706,38361296,SOLE
"AUTOZONE, INC.",053332102,6256,23852752,SOLE
BANK OF AMERICA CORP COM,060505104,393091,16403687,SOLE
BANK OF NEW YORK MELLON CORP,064058100,148501,12454779,SOLE
BAXTER INTERNATIONAL INC,071813109,9831,336515,SOLE
BERKSHIRE HATHAWAY INC,084670108,167,133339747,SOLE
BERKSHIRE HATHAWAY INC DEL CL B,084670702,89970,47916223,SOLE
BLUE OWL CAPITAL CORP,69121K104,13431,196898,SOLE
CISCO SYSTEMS INC,17275r102,58299,3597631,SOLE
CLEVELAND-CLIFFS INC,185899101,11365,93420,SOLE
CNH INDUSTRIAL NV,N20944109,13335317,163757693,SOLE
COCA COLA FEMSA,191241108,1285257,117331112,SOLE
COMCAST CORPORATION - CLASS A,20030N101,32326,1192829,SOLE
CONCENTRIX CORP,20602D101,22051,1226918,SOLE
CONOCOPHILLIPS,20825C104,22709,2384899,SOLE
DIAGEO P L C  - ADR,25243q205,136194,14271769,SOLE
EMERSON ELECTRIC CO,291011104,9959,1091905,SOLE
EMPLOYERS HOLDING INC,292218104,4289,217195,SOLE
ENTERPRISE PRODUCTS PARTNERS,293792107,111435,3804391,SOLE
ENVISTA HOLDINGS CORP,29415F104,1496834,25835355,SOLE
FEDEX CORP.,31428X106,115213,28086625,SOLE
FIFTH THIRD BANC,316773100,5925,232260,SOLE
FMC CORP.,302491303,287218,12117727,SOLE
GENERAL MOTORS,37045V100,4826,226967,SOLE
GLOBE LIFE INC.,37959E102,31626,4165777,SOLE
GSK PLC ADR,37733W204,90545,3507713,SOLE
HAFNIA LTD,Y2990R101,28183,117241,SOLE
HALEON PLC ADR,405552100,81419,837802,SOLE
HCI GROUP INC,40416E103,1981,295625,SOLE
HEARTLAND EXPRESS INC.,422347104,15332,141361,SOLE
"HIGHPEAK ENERGY, INC.",43114Q105,11363,143856,SOLE
IONIS PHARMACEUTICALS INC.,462222100,2983518,90012738,SOLE
JOHNSON & JOHNSON,478160104,438271,72682863,SOLE
KENVUE INC.,49177J102,47098,1129410,SOLE
KT CORP - ADR,48268K101,12150,215176,SOLE
NOVARTIS AG AMERICAN DEPOSITORY SHARES,66987v109,81025,9032667,SOLE
PHILLIPS 66,718546104,13101,1617711,SOLE
POLESTAR AUTOMOTIVE-CL A,731105201,10256,10769,SOLE
PROFRAC HOLDINGS A,74319N100,12519,95019,SOLE
PROGRESSIVE CORP,743315103,13711,3880350,SOLE
PROSPECT CAPITAL CORP,74348T102,30562,125304,SOLE
SEALED AIR CORPORATION,81211K100,546476,15793156,SOLE
TOTALENERGIES SE ADR,89151E109,137194,8875080,SOLE
TRUIST FINANCIAL CORP,89832Q109,607846,25012863,SOLE
U-HAUL HOLDING CO - NON VOTING,023586506,480424,28431492,SOLE
UNILEVER PLC SPONSORED ADR,904767704,66675,3970496,SOLE
UNION PACIFIC CORP,907818108,21068,4977104,SOLE
US BANCORP,902973304,208109,8786362,SOLE
VERIZON COMMUNICATIONS,92343V104,24034,1090182,SOLE
VERTEX PHARMACEUTICALS,92532F100,38316,18576363,SOLE
WELLS FARGO & CO,949746101,644280,46252861,SOLE
WINTRUST FINANCIAL,97650W108,2029,228181,SOLE
ZIONS BANCORPORATION N.A.,989701107,4553,227013,SOLE
