Company,CUSIP,Shares,Value,Discretion,PutCall
AMAZON COM INC,023135106,536900,117790491,SOLE,
DISNEY WALT CO,254687106,6566031,731127552,SOLE,
EXPEDIA GROUP INC,30212P303,2017406,375903260,SOLE,
INSIGHT ENTERPRISES INC,45765U103,4061739,617790502,SOLE,
LIBERTY MEDIA CORP DEL,531229748,1268448,84427899,SOLE,
LIBERTY MEDIA CORP DEL,531229722,3168788,215667711,SOLE,
LIVE NATION ENTERTAINMENT INC,538034109,1061466,137459847,SOLE,
META PLATFORMS INC,30303M102,211500,123835365,SOLE,
ROBLOX CORP,771049103,10135921,586464389,SOLE,
SALESFORCE INC,79466L302,2898509,969058514,SOLE,
TOAST INC,888787108,8548600,311596470,SOLE,
VISA INC,92826C839,373600,118072544,SOLE,
