Company,CUSIP,Shares,Value,Discretion,PutCall
ALPHABET INC,02079K305,260855,42334088,SOLE,
APPLE INC,037833100,173540,37750102,SOLE,
BOOKING HOLDINGS INC,09857L108,6145,21134466,SOLE,
CDW CORP,12514G108,96479,20463267,SOLE,
COPART INC,217204106,516179,25943157,SOLE,
EDWARDS LIFESCIENCES CORP,28176E108,354427,23229146,SOLE,
META PLATFORMS INC,30303M102,83788,43230593,SOLE,
MICROSOFT CORP,594918104,68970,28057884,SOLE,
MOTOROLA SOLUTIONS INC,620076307,60341,24906460,SOLE,
OLD DOMINION FREIGHT LINE IN,679580100,60830,11595327,SOLE,
OREILLY AUTOMOTIVE INC,67103H107,8887,9962949,SOLE,
PAYPAL HLDGS INC,70450Y103,503212,31933834,SOLE,
POOL CORP,73278L105,33759,11615542,SOLE,
S&P GLOBAL INC,78409V104,24644,11939219,SOLE,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,247788,41536659,SOLE,
TEXAS PACIFIC LAND CORPORATI,88262P102,13363,11127426,SOLE,
TRACTOR SUPPLY CO,892356106,101588,26639491,SOLE,
UNITEDHEALTH GROUP INC,91324P102,58920,33306692,SOLE,
VISA INC,92826C839,128358,33358890,SOLE,
