Company,CUSIP,Shares,Value,Discretion
ACCENTURE PLC IRELAND,G1151C101,106850,32419359,SOLE
ACI WORLDWIDE INC,004498101,372000,14727480,SOLE
ADOBE SYSTEMS INC,00724F101,40000,22221600,SOLE
ALPHABET INC,02079K107,618975,113532395,SOLE
AMAZON COM INC,023135106,252500,48795625,SOLE
ANALOG DEVICES INC,032654105,141000,32184660,SOLE
AON PLC,G0403H108,260950,76609701,SOLE
BERKSHIRE HATHAWAY INC DEL,084670702,323200,131477760,SOLE
BIO-TECHNE CORP,09073M104,44100,3159765,SOLE
CARMAX INC,143130102,865200,63453768,SOLE
CHARTER COMMUNICATIONS INC,16119P108,142950,42736332,SOLE
COMCAST CORP NEW,20030N101,95000,3720200,SOLE
CORECARD CORPORATION,45816D100,515000,7513850,SOLE
COSTAR GROUP INC,22160N109,886500,65725110,SOLE
DANAHER CORPORATION,235851102,350910,87674864,SOLE
DIAGEO PLC,25243Q205,28300,3568064,SOLE
EQUIFAX INC,294429105,176000,42672960,SOLE
FIDELITY NATL INFORMATION SV,31620M106,439000,33083040,SOLE
FORTIVE CORP,34959J108,40800,3023280,SOLE
GARTNER INC,366651107,64425,28930691,SOLE
GLOBAL PMTS INC,37940X102,529600,51212320,SOLE
GUIDEWIRE SOFTWARE INC,40171V100,101800,14037202,SOLE
HEICO CORP NEW,422806208,162900,28918008,SOLE
HONEYWELL INTL INC,438516106,11300,2413002,SOLE
IDEX CORP,45167R104,237400,47764880,SOLE
LABCORP HOLDINGS INC,504922105,241350,49117139,SOLE
LIBERTY BROADBAND CORP,530307107,140000,7644000,SOLE
LIBERTY BROADBAND CORP,530307305,530500,29082010,SOLE
LIBERTY GLOBAL LTD,G61188127,1386500,24749025,SOLE
LIBERTY MEDIA CORP DEL,531229789,1088000,24110080,SOLE
LIBERTY MEDIA CORP DEL,531229722,75000,2870250,SOLE
LIBERTY MEDIA CORP DEL,531229813,310000,6866500,SOLE
LINDE PLC,G54950103,6900,3027789,SOLE
LKQ CORP,501889208,458100,19052379,SOLE
MARTIN MARIETTA MATLS INC,573284106,40675,22037715,SOLE
MASTERCARD INCORPORATED,57636Q104,203350,89709886,SOLE
META PLATFORMS INC,30303M102,188775,95184131,SOLE
MICROCHIP TECHNOLOGY INC.,595017104,259600,23753400,SOLE
MICROSOFT CORP,594918104,40950,18302603,SOLE
OLD DOMINION FREIGHT LINE IN,679580100,209900,37068340,SOLE
ORACLE CORP,68389X105,214700,30315640,SOLE
PERIMETER SOLUTIONS SA,L7579L106,3585000,28070550,SOLE
REDWOOD TR INC,758075AD7,9000000,9003905,SOLE
ROPER TECHNOLOGIES INC,776696106,66500,37483390,SOLE
RWT HLDGS INC,749772AD1,3500000,3412642,SOLE
S&P GLOBAL INC,78409V104,68875,30718250,SOLE
SALESFORCE COM INC,79466L302,95000,24424500,SOLE
TEXAS INSTRS INC,882508104,169575,32987425,SOLE
THERMO FISHER SCIENTIFIC INC,883556102,125200,69235600,SOLE
VERALTO CORP,92338C103,298699,28516794,SOLE
VERISIGN INC,92343E102,86500,15379700,SOLE
VISA INC,92826C839,359200,94279224,SOLE
VULCAN MATLS CO,929160109,191550,47634654,SOLE
