Company,CUSIP,Shares,Value,Discretion,PutCall
ACCENTURE PLC IRELAND,G1151C101,139650,43576386,SOLE,
ACI WORLDWIDE INC,004498101,356600,19509586,SOLE,
ADOBE SYSTEMS INC,00724F101,82500,31641225,SOLE,
ALPHABET INC,02079K107,445600,69616088,SOLE,
AMAZON COM INC,023135106,222500,42332850,SOLE,
ANALOG DEVICES INC,032654105,141000,28435470,SOLE,
AON PLC,G0403H108,213450,85185761,SOLE,
BERKSHIRE HATHAWAY INC DEL,084670702,286850,152770573,SOLE,
BIO-TECHNE CORP,09073M104,791650,46414440,SOLE,
CARMAX INC,143130102,805200,62741184,SOLE,
CHARTER COMMUNICATIONS INC,16119P108,115450,42546789,SOLE,
COMCAST CORP NEW,20030N101,451500,16660350,SOLE,
CORECARD CORPORATION,45816D100,515000,9635650,SOLE,
COSTAR GROUP INC,22160N109,911600,72226068,SOLE,
DANAHER CORPORATION,235851102,496650,101813250,SOLE,
DIAGEO PLC,25243Q205,28300,2965557,SOLE,
EQUIFAX INC,294429105,210350,51232846,SOLE,
FORTIVE CORP,34959J108,40800,2985744,SOLE,
GARTNER INC,366651107,87925,36905640,SOLE,
GLOBAL PMTS INC,37940X102,580000,56793600,SOLE,
HEICO CORP NEW,422806208,162900,34367013,SOLE,
IDEX CORP,45167R104,401225,72609688,SOLE,
IDEXX LABS INC,45168D104,60300,25322985,SOLE,
LABCORP HOLDINGS INC,504922105,151175,35184470,SOLE,
LIBERTY BROADBAND CORP,530307107,140000,11900000,SOLE,
LIBERTY BROADBAND CORP,530307305,530500,45119025,SOLE,
LINDE PLC,G54950103,6900,3212916,SOLE,
LKQ CORP,501889208,458300,19496082,SOLE,
MARTIN MARIETTA MATLS INC,573284106,41275,19734816,SOLE,
MASTERCARD INCORPORATED,57636Q104,179070,98151848,SOLE,
META PLATFORMS INC,30303M102,120760,69601234,SOLE,
MICROSOFT CORP,594918104,134475,50480570,SOLE,
OLD DOMINION FREIGHT LINE IN,679580100,208500,34496325,SOLE,
ORACLE CORP,68389X105,170075,23778186,SOLE,
PERIMETER SOLUTIONS INC,71385M107,2057291,20716920,SOLE,
ROPER TECHNOLOGIES INC,776696106,31425,18527552,SOLE,
RWT HLDGS INC,749772AD1,3500000,3500000,SOLE,
S&P GLOBAL INC,78409V104,7140,3627834,SOLE,
SALESFORCE COM INC,79466L302,87500,23481500,SOLE,
SIRIUSXM HOLDINGS INC,829933100,1465500,33039698,SOLE,
TEXAS INSTRS INC,882508104,169575,30472628,SOLE,
THERMO FISHER SCIENTIFIC INC,883556102,126150,62772240,SOLE,
VERALTO CORP,92338C103,37500,3654375,SOLE,
VISA INC,92826C839,324200,113619132,SOLE,
VULCAN MATLS CO,929160109,211900,49436270,SOLE,
