Company,CUSIP,Shares,Value,Discretion
Unilever PLC ADR,904767704,299630,15038430,SOLE
"A-Mark Precious Metals, Inc.",00181T107,45000,1381050,SOLE
Alphabet Inc.,02079K107,3653677,556308860,SOLE
Altria Group Inc.,02209S103,5800,252996,SOLE
America's CAR MART Inc,03062T105,35000,2235450,SOLE
Amplify Energy Corp,03212B103,235000,1553350,SOLE
Aon PLC,G0403H108,11670,3894512,SOLE
Armstrong World Industries,04247X102,1111381,138055748,SOLE
BNY Mellon Corp.,064058100,3717211,214185698,SOLE
Berkshire Hathaway A,084670108,14,8882160,SOLE
Berkshire Hathaway B,084670702,676582,284516263,SOLE
Booking Hldgs Inc. Com,09857L108,39221,142289081,SOLE
Canadian Natural Resources Ltd,136385101,15037911,1147693368,SOLE
Cato Corp,149205106,105445,608418,SOLE
Charles Schwab Corp,808513105,6280994,454367106,SOLE
Cisco Systems Inc.,17275R102,1223484,61064086,SOLE
Clorox Company,189054109,31100,4761721,SOLE
Coca-Cola Co.,191216100,2588447,158361187,SOLE
Cognizant Technology Solutions,192446102,4925723,361006239,SOLE
Colgate-Palmolive,194162103,1194200,107537710,SOLE
Comcast Cl A,20030N101,1428500,61925475,SOLE
ConocoPhillips,20825C104,1815948,231133861,SOLE
Corning Inc.,219350105,1185500,39074080,SOLE
Darling Ingredients Inc.,237266101,1882183,87540331,SOLE
Devon Energy Corp,25179M103,3321902,166693042,SOLE
Diamondback Energy Inc,25278X109,1463985,290117907,SOLE
EOG Resources Inc,26875P101,1789272,228740532,SOLE
Ebay Inc.,278642103,2951932,155802971,SOLE
"Elevance Health, Inc.",036752103,374620,194255455,SOLE
Embecta Corp,29082K105,2816428,37374000,SOLE
Exxon Mobil Corp.,30231G102,120400,13995296,SOLE
First Hawaiian Inc.,32051X108,996524,21883667,SOLE
Fox Corp A,35137L105,2600868,81329142,SOLE
Fox Corp B,35137L204,8732038,249910918,SOLE
Goldman Sachs Grp,38141G104,190457,79551984,SOLE
Graftech International LTD,384313508,14654465,20223162,SOLE
Hershey Co.,427866108,21950,4269275,SOLE
Ingredion Inc,457187102,2206399,257817723,SOLE
Johnson & Johnson,478160104,1514714,239612639,SOLE
Kellanova,487836108,2131403,122108078,SOLE
Kenvue Inc,49177J102,6265316,134453681,SOLE
L3Harris Technologies,502431109,651418,138817176,SOLE
Legacy Housing Corporation,52472M101,160000,3443200,SOLE
Lockheed Martin Corp.,539830109,331563,150818062,SOLE
Masco Corporation,574599106,463472,36558671,SOLE
Mastercard Inc.,57636Q104,11130,5359874,SOLE
Micron Technology Inc,595112103,240000,28293600,SOLE
Microsoft Corp.,594918104,1589290,668646089,SOLE
Moody's Corp.,615369105,7670,3014540,SOLE
News Corp CL B,65249B208,526032,14234426,SOLE
News Corp Cl A,65249B109,14593521,382058380,SOLE
Northern Trust Corp.,665859104,9500,844740,SOLE
Northrop Grumman Corp,666807102,387219,185346247,SOLE
Olin Corp,680665205,4293188,252439454,SOLE
Oracle Corporation,68389X105,910035,114309496,SOLE
PEPSICO INC,713448108,2487760,435382878,SOLE
Philip Morris Intl,718172109,7301,668918,SOLE
Pioneer Natural Resources,723787107,307400,80692500,SOLE
Procter & Gamble,742718109,2461850,399435162,SOLE
"Reading International, Inc.",755408101,500000,920000,SOLE
"Reliance, Inc.",759509102,996402,332977620,SOLE
Spdr S&P 500 ETF,78462F103,5951,3112790,SOLE
State Street Corp,857477103,3394316,262448513,SOLE
Sysco Corporation,871829107,1482308,120333763,SOLE
Teledyne Technologies Inc Com,879360105,16500,7083780,SOLE
Tyson Foods Inc,902494103,3088118,181365170,SOLE
U-Haul Holding Company,023586100,471883,31870978,SOLE
U-Haul Holding Company Class B,023586506,7116453,474525086,SOLE
VISA Inc.,92826C839,732,204287,SOLE
Verizon Commun.,92343V104,85000,3566600,SOLE
Walt Disney Company,254687106,1646882,201512518,SOLE
Warner Bros Discovery Inc,934423104,8051804,70292249,SOLE
Wells Fargo & Co,949746101,2540840,147267086,SOLE
