Company,CUSIP,Shares,Value,Discretion,PutCall
Alphabet Inc. Class A,02079K107,1126534,323157543,SOLE,
"Altria Group, Inc.",02209S103,4200,277158,SOLE,
"America's Car-Mart, Inc.",03062T105,195000,2482350,SOLE,
Amplify Energy Corp.,03212B103,210000,1310400,SOLE,
Aon Plc Class A,G0403H108,12915,4168704,SOLE,
"Armstrong World Industries, Inc.",04247X102,741937,122271218,SOLE,
"Avantor, Inc.",05352A100,4745000,37200800,SOLE,
Bank of New York Mellon Corp,064058100,357698,42433714,SOLE,
"BellRing Brands, Inc.",07831C103,1498000,24102820,SOLE,
Berkshire Hathaway Inc. Class B,084670702,314981,150938895,SOLE,
Canadian Natural Resources Limited,136385101,16541598,806072071,SOLE,
Cato Corporation Class A,149205106,105445,298409,SOLE,
Charles Schwab Corp,808513105,3904856,366978367,SOLE,
"Cisco Systems, Inc.",17275R102,210580,16338902,SOLE,
Clorox Company,189054109,48095,4984085,SOLE,
Coca-Cola Company,191216100,2098755,159610318,SOLE,
Cognizant Technology Solutions Corporation Class A,192446102,3008138,184549266,SOLE,
Colgate-Palmolive Company,194162103,789400,67280562,SOLE,
Comcast Corporation Class A,20030N101,1167500,33518925,SOLE,
ConocoPhillips,20825C104,1581521,208760772,SOLE,
"Copart, Inc.",217204106,110245,3660134,SOLE,
Darling Ingredients Inc,237266101,1403668,86816866,SOLE,
Devon Energy Corporation,25179M103,458844,23089030,SOLE,
"Diamondback Energy, Inc.",25278X109,1003970,198575226,SOLE,
eBay Inc.,278642103,1529194,139187238,SOLE,
"Elevance Health, Inc.",036752103,334315,97870716,SOLE,
Embecta Corporation,29082K105,3671877,32459393,SOLE,
"EOG Resources, Inc.",26875P101,1221843,176641843,SOLE,
FactSet Research Systems Inc.,303075105,225874,49012399,SOLE,
Fair Isaac Corporation,303250104,6157,6572844,SOLE,
Fox Corporation Class A,35137L204,5566518,295582106,SOLE,
Fox Corporation Class A,35137L105,1188374,69401042,SOLE,
"Gold.com, Inc.",00181T107,5000,200400,SOLE,
"Goldman Sachs Group, Inc.",38141G104,5095,4310319,SOLE,
GrafTech International Ltd.,384313607,1067386,7236877,SOLE,
Ingredion Incorporated,457187102,1440258,162259466,SOLE,
Intuit Inc.,461202103,7375,3188803,SOLE,
iShares Trust,464286772,980605,120624221,SOLE,
Johnson & Johnson,478160104,1249409,305405536,SOLE,
"Kenvue, Inc.",49177J102,7932459,136755593,SOLE,
L3Harris Technologies Inc,502431109,407875,140778056,SOLE,
Legacy Housing Corporation,52472M101,705675,14416940,SOLE,
Lockheed Martin Corporation,539830109,213628,129114627,SOLE,
"Marsh & McLennan Companies, Inc.",571748102,19380,3361461,SOLE,
Masco Corporation,574599106,244718,14773626,SOLE,
Mastercard Incorporated Class A,57636Q104,11670,5831032,SOLE,
Microsoft Corporation,594918104,992916,367547716,SOLE,
Moody's Corporation,615369105,12405,5411681,SOLE,
MSCI Inc. Class A,55354G100,10900,5875209,SOLE,
News Corporation Class A,65249B109,7388648,184198995,SOLE,
News Corporation Class A,65249B208,8140,232071,SOLE,
Northern Trust Corporation,665859104,9500,1325915,SOLE,
Northrop Grumman Corp.,666807102,194173,132472588,SOLE,
Olin Corporation,680665205,4092211,121661433,SOLE,
"PayPal Holdings, Inc.",70450Y103,2290642,103605738,SOLE,
"PepsiCo, Inc.",713448108,2027967,314922995,SOLE,
Philip Morris International Inc.,718172109,5900,975506,SOLE,
Procter & Gamble Company,742718109,1931131,278932562,SOLE,
"Reading International, Inc. Class A",755408101,265000,299450,SOLE,
"Reliance, Inc.",759509102,693126,210654854,SOLE,
State Street Corporation,857477103,909191,115067213,SOLE,
State Street SPDR Bloomberg 1-3 Month T-Bill ETF,78468R663,212115,19438219,SOLE,
State Street SPDR S&P 500 ETF,78462F103,3768,2450481,SOLE,
Sysco Corporation,871829107,1234872,88083420,SOLE,
Talen Energy Corp,87422Q109,359900,114890877,SOLE,
Teledyne Technologies Incorporated,879360105,2500,1512525,SOLE,
"Tyson Foods, Inc. Class A",902494103,2514870,161127721,SOLE,
U-Haul Holding Company,023586506,6048331,270178946,SOLE,
U-Haul Holding Company,023586100,325369,15546131,SOLE,
Unilever PLC,904767803,200113,11400438,SOLE,
UnitedHealth Group Incorporated,91324P102,168460,45583591,SOLE,
"Verisk Analytics, Inc.",92345Y106,14775,2803556,SOLE,
Verizon Communications Inc.,92343V104,20000,1004000,SOLE,
Visa Inc. Class A,92826C839,732,221240,SOLE,
Walt Disney Company,254687106,1347536,129875519,SOLE,
Wells Fargo & Company,949746101,100437,7995790,SOLE,
