Company,CUSIP,Shares,Value ($000s),Discretion
ALPHABET INC,02079K305,678297,212306961,SOLE
ALPHABET INC,02079K107,6163871,1934222720,SOLE
AMAZON COM INC,023135106,9607824,2217677936,SOLE
BROOKFIELD CORP,11271J107,61403089,2817787754,SOLE
HERTZ GLOBAL HLDGS INC,42806J700,15241127,78339393,SOLE
HILTON WORLDWIDE HLDGS INC,43300A203,3028664,869983734,SOLE
HOWARD HUGHES HOLDINGS INC,44267T102,18852064,1503829145,SOLE
META PLATFORMS INC,30303M102,2673569,1764796161,SOLE
RESTAURANT BRANDS INTL INC,76131D103,22866773,1560199922,SOLE
SEAPORT ENTMT GROUP INC,812215200,5023780,99320131,SOLE
UBER TECHNOLOGIES INC,90353T100,30207734,2468273945,SOLE
